[00:00:00]	[OOC] Rodriguo Ouh: early
[13:08:51]	PhilipIsBored (STEAM_0:0:38537787) has disconnected.
[13:11:34]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[13:16:34]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[13:21:34]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[13:25:23]	FB|| light ROOM loaded the character 'Gordo Kin'
[13:32:45]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[14:26:03]	brent has connected.
[14:26:30]	brent loaded the character 'Daniel Goodman'
[14:28:28]	brent (STEAM_0:0:141211721) has disconnected.
[14:51:41]	Randy Bo Bandy has connected.
[14:52:55]	Randy Bo Bandy loaded the character 'Randy Stevens'
[14:53:12]	Randy Stevens used command '/CharDesc'.
[14:53:22]	Randy Stevens used command '/CharDesc A tall and skinny middle aged man. Dark hair. UU smoke hangs from his mouth. Defined features. Green eyes. Sweet hat. American accent.'.
[14:53:27]	Randy Stevens ran 'Take' on item 'UU Brand Cigarette Pack' (#19103)
[14:53:27]	Randy Stevens has gained a 'UU Brand Cigarette' #21125.
[14:54:10]	[ME] Randy Stevens: puts a smoke into his mouth, lighting the end on the side of the pack. He rests into the cove, taking long drag.
[14:56:01]	Randy Stevens ran 'Eat' on item 'UU Brand Cigarette' (#21125)
[14:58:27]	Randy Bo Bandy (STEAM_0:1:59602972) has disconnected.
[15:23:28]	Madeline Wuntch has connected.
[15:25:50]	Madeline Wuntch loaded the character 'CCA.C14-UNION.i5.36307'
[15:26:08]	[OOC] CCA.C14-UNION.i5.36307: huh unrest procedures are still on
[15:26:25]	CCA.C14-UNION.i5.36307 ran 'read' on item 'Cars for Dummies, Vol. 2' (#5971)
[15:26:33]	CCA.C14-UNION.i5.36307 ran 'Edit' on item 'Notepad' (#19060)
[15:27:15]	CCA.C14-UNION.i5.36307 ran 'View' on item 'Notepad' (#19060)
[15:27:27]	CCA.C14-UNION.i5.36307 ran 'drop' on item 'Notepad' (#19060)
[15:27:27]	CCA.C14-UNION.i5.36307 has lost a 'Notepad' #19060.
[15:27:34]	CCA.C14-UNION.i5.36307 destroyed a 'Notepad' #19060.
[15:30:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[15:35:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[15:40:07]	CCA.C14-UNION.i5.36307 used the 'Armory Supply' vendor.
[15:40:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[15:45:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[15:50:45]	Randy Bo Bandy has connected.
[15:50:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[15:52:05]	Randy Bo Bandy loaded the character 'Randy Stevens'
[15:55:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[15:56:28]	Randy Stevens has taken 5 damage from npc_fastzombie.
[15:56:42]	Randy Stevens has taken 5 damage from npc_headcrab.
[15:57:15]	[OOC] CCA.C14-UNION.i5.36307: hi
[15:57:18]	[OOC] Randy Stevens: hi
[15:57:24]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[15:57:25]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[15:57:27]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[15:57:28]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[15:59:26]	Randy Stevens has taken 3 damage from npc_turret_floor.
[15:59:26]	Randy Stevens has taken 3 damage from npc_turret_floor.
[16:00:27]	[OOC] CCA.C14-UNION.i5.36307: those gunshots ic?
[16:00:30]	[OOC] Randy Stevens: Yes
[16:00:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[16:00:50]	Randy Stevens has taken 18 damage from npc_turret_floor.
[16:00:50]	Randy Stevens has taken 3 damage from npc_turret_floor.
[16:01:18]	Randy Stevens has taken 23 damage from xen_tree.
[16:01:42]	FB|| light ROOM has connected.
[16:01:45]	Randy Stevens has taken 3 damage from npc_turret_floor.
[16:01:52]	[OOC] CCA.C14-UNION.i5.36307: oh 
[16:02:07]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[16:02:14]	[OOC] CCA.C14-QrM.98240: Hello gamers
[16:02:20]	[OOC] CCA.C14-UNION.i5.36307: hey
[16:02:22]	[OOC] CCA.C14-QrM.98240: I'll fix ratio
[16:02:25]	FB|| light ROOM loaded the character 'Gordo Kin'
[16:02:38]	[OOC] Gordo Kin: That was a fucking amazing event yesterday
[16:02:40]	[OOC] CCA.C14-UNION.i5.36307: i was just about to go to the armoury -_-
[16:02:47]	[OOC] Gordo Kin: Fine
[16:02:52]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[16:02:57]	Randy Stevens has taken 12 damage from trigger_hurt.
[16:02:57]	Randy Stevens has taken 12 damage from trigger_hurt.
[16:03:06]	CCA.C14-QrM.98240 used command '/Radio Unit is 10-8, status is green'.
[16:03:19]	Randy Bo Bandy (STEAM_0:1:59602972) has disconnected.
[16:03:22]	[OOC] CCA.C14-QrM.98240: f
[16:03:27]	[OOC] CCA.C14-UNION.i5.36307: f
[16:04:42]	[ME] CCA.C14-QrM.98240: Opens up the supply crate revealing a large number of weapons and equipment
[16:04:43]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[16:04:49]	CCA.C14-QrM.98240 has lost 8 tokens.
[16:04:49]	CCA.C14-QrM.98240 has gained a 'Zip Tie' #21125.
[16:04:49]	CCA.C14-QrM.98240 has lost 8 tokens.
[16:04:49]	CCA.C14-QrM.98240 has gained a 'Zip Tie' #21126.
[16:04:53]	CCA.C14-QrM.98240 has lost 2 tokens.
[16:04:53]	CCA.C14-QrM.98240 has gained a 'Notepad' #21127.
[16:04:54]	[LOOC] CCA.C14-UNION.i5.36307: are they n e a t l y  s t a c k e d?
[16:05:01]	[LOOC] CCA.C14-QrM.98240: YES 
[16:05:15]	[ME] CCA.C14-QrM.98240: Holds out a few zipties with a notepad underthem
[16:05:19]	CCA.C14-QrM.98240 ran 'drop' on item 'Notepad' (#21127)
[16:05:19]	CCA.C14-QrM.98240 has lost a 'Notepad' #21127.
[16:05:20]	CCA.C14-QrM.98240 ran 'drop' on item 'Zip Tie' (#21126)
[16:05:20]	CCA.C14-QrM.98240 has lost a 'Zip Tie' #21126.
[16:05:21]	CCA.C14-QrM.98240 ran 'drop' on item 'Zip Tie' (#21125)
[16:05:21]	CCA.C14-QrM.98240 has lost a 'Zip Tie' #21125.
[16:05:25]	[ME] CCA.C14-UNION.i5.36307: takes them and stows them
[16:05:26]	CCA.C14-UNION.i5.36307 ran 'take' on item 'Notepad' (#21127)
[16:05:26]	CCA.C14-UNION.i5.36307 has gained a 'Notepad' #21127.
[16:05:33]	[LOOC] CCA.C14-QrM.98240: Uh
[16:05:49]	[LOOC] CCA.C14-UNION.i5.36307: tf
[16:05:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[16:05:53]	[OOC] CCA.C14-QrM.98240: Zipties are fucked
[16:06:03]	[OOC] CCA.C14-QrM.98240: shit Q isn't on
[16:06:06]	[OOC] CCA.C14-UNION.i5.36307: they be floating
[16:06:13]	CCA.C14-QrM.98240 ran 'Use' on item 'Zip Tie' (#21125)
[16:06:25]	[OOC] CCA.C14-QrM.98240: Also I can't pick them up ;-;
[16:06:26]	CCA.C14-UNION.i5.36307 ran 'Edit' on item 'Notepad' (#21127)
[16:06:32]	CCA.C14-UNION.i5.36307 ran 'read' on item 'Cars for Dummies, Vol. 2' (#5971)
[16:06:34]	CCA.C14-UNION.i5.36307 ran 'Edit' on item 'Notepad' (#21127)
[16:06:55]	[LOOC] CCA.C14-QrM.98240: void
[16:06:58]	[LOOC] CCA.C14-UNION.i5.36307: no
[16:07:02]	[LOOC] CCA.C14-QrM.98240: FU-
[16:07:06]	[LOOC] CCA.C14-QrM.98240: jk do whatever
[16:07:52]	CCA.C14-QrM.98240 has gained 10 tokens.
[16:08:33]	[LOOC] CCA.C14-QrM.98240: Its too bad that I left the server on a bad note yesterday ;-;
[16:08:42]	[LOOC] CCA.C14-UNION.i5.36307: why did you leave
[16:09:25]	[LOOC] CCA.C14-QrM.98240: I fucked up and didn't listen to orders because I'm big dumb, also for some reason Q said I didn't know that guy was in the sewers until after his SeC let him go even though I did ;-;
[16:09:42]	[LOOC] CCA.C14-UNION.i5.36307: what
[16:09:58]	[LOOC] CCA.C14-QrM.98240: You remember that guy the OTA brought out of the sewers you were their
[16:10:04]	[LOOC] CCA.C14-UNION.i5.36307: yeah
[16:10:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[16:11:08]	[LOOC] CCA.C14-QrM.98240: I was questioning him and the SeC let him go even though he was in the sewers so I kept questioning him, and after I amputated him for being with real rebels and not reporting them (Which is rebel conspiracy) he got mad because I should have let him go
[16:11:29]	[LOOC] CCA.C14-UNION.i5.36307: is the
[16:11:35]	[LOOC] CCA.C14-UNION.i5.36307: is the SeC a rebel now
[16:11:40]	[LOOC] CCA.C14-QrM.98240: Nope
[16:11:52]	[LOOC] CCA.C14-QrM.98240: He just let a rebel go so.......
[16:12:18]	[LOOC] CCA.C14-QrM.98240: I just won't complain because I don't really want a blackmark
[16:12:36]	[LOOC] CCA.C14-QrM.98240: Sorry for going on a rant but it was kinda annoying
[16:12:47]	[LOOC] CCA.C14-UNION.i5.36307: speaking of blackmarks, i wonder about that complaint some civilian made
[16:12:52]	CCA.C14-QrM.98240 has gained 10 tokens.
[16:13:10]	[LOOC] CCA.C14-QrM.98240: lmao we haven't gotten to it because of the shit we've been doing
[16:13:42]	[LOOC] CCA.C14-UNION.i5.36307: what would even happen if they find i was in the wrong anyway
[16:14:07]	[LOOC] CCA.C14-QrM.98240: Uh.......probably a blackmark possibly worse.
[16:14:52]	[LOOC] CCA.C14-QrM.98240: But a blackmark is better than dewhitelisting so whatever
[16:15:18]	[LOOC] CCA.C14-QrM.98240: I'm tired as fuck ;-;
[16:15:31]	[LOOC] CCA.C14-UNION.i5.36307: same
[16:15:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[16:15:58]	[LOOC] CCA.C14-QrM.98240: Might get on my Epoo because zipties are fucked right now
[16:16:26]	CCA.C14-QrM.98240 used command '/Radio Unit going 10-7, status is green'.
[16:16:30]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[16:16:53]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Standing by'.
[16:18:24]	[ME] CCA.C14-UNION.i5.36307: nods
[16:18:40]	CCA.C14-UNION.i5.36307 ran 'join' on item 'Squad Identification Device' (#18892)
[16:19:30]	CCA.C14-UNION.EpU.72633 used command '/Radio Uh.....i5 why do we have floating zipties?'.
[16:19:53]	CCA.C14-UNION.i5.36307 used command '/Radio I don't control physics, Sir, I wouldn't know.'.
[16:20:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[16:20:56]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit forming PT-Beta with unit 36307.'.
[16:21:00]	CCA.C14-UNION.EpU.72633 used command '/Radio Beginning 10-50'.
[16:21:01]	CCA.C14-UNION.i5.36307 ran 'leave' on item 'Squad Identification Device' (#18892)
[16:21:02]	CCA.C14-UNION.EpU.72633 ran 'create' on item 'Squad Identification Device' (#18934)
[16:21:03]	CCA.C14-UNION.i5.36307 ran 'join' on item 'Squad Identification Device' (#18892)
[16:21:09]	CCA.C14-UNION.i5.36307 ran 'join' on item 'Squad Identification Device' (#18892)
[16:21:11]	CCA.C14-UNION.EpU.72633 ran 'setcolor' on item 'Squad Identification Device' (#18934)
[16:21:13]	CCA.C14-UNION.EpU.72633 ran 'setcolor' on item 'Squad Identification Device' (#18934)
[16:21:30]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[16:21:31]	[LOOC] CCA.C14-UNION.i5.36307: one sec i cant breath
[16:21:39]	[OOC] CCA.C14-UNION.i5.36307: one sec i cant breath
[16:21:45]	[OOC] CCA.C14-UNION.EpU.72633: Bruh what
[16:22:03]	[OOC] CCA.C14-UNION.EpU.72633: Brb as wekk actually
[16:22:06]	[OOC] CCA.C14-UNION.EpU.72633: Well*
[16:23:16]	[OOC] James Albright: jru
[16:23:27]	James Albright has spawned a 'NPC [2166][npc_chumtoad]'.
[16:23:45]	[ME] CCA.C14-UNION.i5.36307: unclips his baton
[16:23:51]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[16:24:00]	[ME] CCA.C14-UNION.i5.36307: attempts to bludgeon the frog
[16:24:12]	James Albright has spawned a 'NPC [2166][npc_chumtoad]'.
[16:24:27]	James Albright has spawned a 'NPC [2166][npc_chumtoad]'.
[16:24:31]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[16:24:34]	James Albright has spawned a 'NPC [2166][npc_chumtoad]'.
[16:24:41]	James Albright has spawned a 'NPC [2166][npc_chumtoad]'.
[16:24:48]	[OOC] CCA.C14-UNION.EpU.72633: Back
[16:24:56]	James Albright has spawned a 'NPC [2166][npc_chumtoad]'.
[16:25:00]	[OOC] CCA.C14-UNION.EpU.72633: Oh shit Q exist now
[16:25:01]	James Albright has spawned a 'NPC [2166][npc_chumtoad]'.
[16:25:08]	James Albright has spawned a 'NPC [2166][npc_chumtoad]'.
[16:25:11]	CCA.C14-UNION.EpU.72633 used command '/Radio i5'.
[16:25:12]	James Albright has spawned a 'NPC [2166][npc_chumtoad]'.
[16:25:47]	James Albright used command '/ToggleRaise'.
[16:25:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[16:25:54]	[OOC] CCA.C14-UNION.EpU.72633: By the way, Zipties are fucked
[16:25:59]	[OOC] James Albright: hold up what
[16:26:04]	James Albright exited observer at their location.
[16:26:05]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[16:26:05]	James Albright entered observer.
[16:26:06]	James Albright exited observer at their location.
[16:26:06]	[OOC] CCA.C14-UNION.EpU.72633: Come here
[16:26:09]	[OOC] James Albright: oh, liek ou ca'nt dro pthme?
[16:26:10]	[OOC] CCA.C14-UNION.i5.36307: they be floating
[16:26:20]	[OOC] James Albright: fuck me not this shit
[16:26:30]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[16:26:40]	James Albright used the 'Armory Supply' vendor.
[16:27:10]	James Albright used the 'Armory Supply' vendor.
[16:27:12]	James Albright used the 'Armory Supply' vendor.
[16:27:43]	James Albright used the 'Armory Supply' vendor.
[16:28:07]	matt saton loaded the character 'CCA.C14-QrM.47114'
[16:28:08]	CCA.C14-QrM.47114 entered observer.
[16:28:14]	CCA.C14-QrM.47114 used command '/ChangeSocioStatus green'.
[16:28:17]	CCA.C14-QrM.47114 exited observer at their location.
[16:28:21]	CCA.C14-QrM.47114 used the 'Armory Supply' vendor.
[16:28:26]	matt saton loaded the character 'CCA.C14-GRID.i3.69192'
[16:28:32]	CCA.C14-GRID.i3.69192 used the 'Armory Supply' vendor.
[16:28:43]	[OOC] CCA.C14-GRID.i3.69192: mag fucking nificent
[16:28:43]	CCA.C14-GRID.i3.69192 entered observer.
[16:28:48]	CCA.C14-GRID.i3.69192 exited observer at their location.
[16:29:22]	CCA.C14-GRID.i3.69192 used the 'Storage' vendor.
[16:29:23]	CCA.C14-GRID.i3.69192 used the 'Storage' vendor.
[16:29:36]	CCA.C14-GRID.i3.69192 entered observer.
[16:29:42]	CCA.C14-GRID.i3.69192 exited observer at their location.
[16:29:48]	[OOC] CCA.C14-GRID.i3.69192: unitl i cnaget a restat and and unfuck it
[16:29:48]	CCA.C14-GRID.i3.69192 used command '/DoorSetHidden true'.
[16:29:52]	[OOC] CCA.C14-GRID.i3.69192: i'm gonna thorw in a hotfix
[16:30:00]	[OOC] CCA.C14-UNION.EpU.72633: And that hotfix is?
[16:30:02]	[OOC] CCA.C14-UNION.i5.36307: restart rn?
[16:30:06]	[OOC] CCA.C14-GRID.i3.69192: changing the moidel back
[16:30:09]	[OOC] CCA.C14-GRID.i3.69192: i mean i coudl restart rn
[16:30:13]	[OOC] CCA.C14-GRID.i3.69192: if you guys are cool wtih it
[16:30:15]	[OOC] CCA.C14-UNION.i5.36307: sure
[16:30:17]	[OOC] CCA.C14-UNION.EpU.72633: I'm down
[16:30:24]	[OOC] CCA.C14-GRID.i3.69192: alright give me a couple mis
[16:30:35]	[OOC] CCA.C14-GRID.i3.69192: to fix this i have to unpack the tarkov pack
[16:30:42]	[OOC] CCA.C14-GRID.i3.69192: then plop it in the server
[16:30:43]	[OOC] CCA.C14-GRID.i3.69192: that may fix it
[16:30:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[16:30:55]	[OOC] CCA.C14-GRID.i3.69192: if it doesn't i am going to assassinate our server host
[16:30:56]	[LOOC] CCA.C14-UNION.i5.36307: trying to practice my morse code with the flashlight
[16:31:11]	[OOC] CCA.C14-GRID.i3.69192: pff
[16:31:12]	[OOC] CCA.C14-GRID.i3.69192: nice
[16:31:13]	[LOOC] CCA.C14-UNION.EpU.72633: Lmao, we can use morse code during fire fights
[16:31:30]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[16:31:45]	[OOC] CCA.C14-UNION.EpU.72633: I miss the HL:A skins ;-;
[16:33:02]	[OOC] CCA.C14-GRID.i3.69192: unpacking....
[16:33:09]	[OOC] CCA.C14-GRID.i3.69192: holy fuck it coems with SOUNDS?
[16:33:11]	[OOC] CCA.C14-GRID.i3.69192: FUCK YES
[16:33:17]	[OOC] CCA.C14-UNION.i5.36307: will this fix the books
[16:33:26]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[16:33:31]	[OOC] CCA.C14-GRID.i3.69192: no
[16:33:32]	[OOC] CCA.C14-GRID.i3.69192: wait
[16:33:34]	[OOC] CCA.C14-GRID.i3.69192: i need to test those out
[16:33:42]	matt saton loaded the character 'fdsfsdsa dafsdafdsaf'
[16:33:49]	fdsfsdsa dafsdafdsaf has gained a 'Cars for Dummies, Vol. 1' #21128.
[16:33:49]	fdsfsdsa dafsdafdsaf used command '/CharGiveItem fds vol. 1'.
[16:33:50]	fdsfsdsa dafsdafdsaf has gained a 'Cars for Dummies, Vol. 2' #21129.
[16:33:50]	fdsfsdsa dafsdafdsaf used command '/CharGiveItem fds vol. 2'.
[16:33:52]	fdsfsdsa dafsdafdsaf has gained a 'Cars for Dummies, Vol. 3' #21130.
[16:33:52]	fdsfsdsa dafsdafdsaf used command '/CharGiveItem fds vol. 3'.
[16:33:52]	fdsfsdsa dafsdafdsaf entered observer.
[16:33:52]	[OOC] CCA.C14-UNION.EpU.72633: I found a dynamic height mod.....neat
[16:33:57]	[OOC] fdsfsdsa dafsdafdsaf: a mod or a plugin?
[16:34:01]	fdsfsdsa dafsdafdsaf exited observer at their location.
[16:34:02]	fdsfsdsa dafsdafdsaf entered observer.
[16:34:02]	fdsfsdsa dafsdafdsaf exited observer at their location.
[16:34:03]	fdsfsdsa dafsdafdsaf entered observer.
[16:34:04]	fdsfsdsa dafsdafdsaf exited observer at their location.
[16:34:04]	[OOC] CCA.C14-UNION.EpU.72633: It's a mod on the workshop
[16:34:07]	[OOC] fdsfsdsa dafsdafdsaf: oh nive
[16:34:13]	[OOC] fdsfsdsa dafsdafdsaf: ollie found a billards addon
[16:34:14]	fdsfsdsa dafsdafdsaf ran 'read' on item 'Cars for Dummies, Vol. 1' (#21128)
[16:34:15]	fdsfsdsa dafsdafdsaf ran 'read' on item 'Cars for Dummies, Vol. 2' (#21129)
[16:34:20]	[OOC] fdsfsdsa dafsdafdsaf: SON OF ADAMN WHORE BITCH
[16:34:25]	[OOC] CCA.C14-UNION.EpU.72633: F
[16:34:28]	[OOC] fdsfsdsa dafsdafdsaf: tbh ot fix this i need to do it on the dev server
[16:34:35]	[OOC] fdsfsdsa dafsdafdsaf: ic we'll say you read the books
[16:34:45]	[OOC] fdsfsdsa dafsdafdsaf: and then i'll make you read them when they'r3e finally fixed
[16:35:00]	[OOC] CCA.C14-UNION.i5.36307: sure
[16:35:15]	[OOC] CCA.C14-UNION.i5.36307: ah hellop mr fdsfafafdsa
[16:35:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[16:35:54]	[OOC] fdsfsdsa dafsdafdsaf: no shit
[16:35:56]	[OOC] fdsfsdsa dafsdafdsaf: it really does have soudns
[16:35:57]	fdsfsdsa dafsdafdsaf entered observer.
[16:36:02]	fdsfsdsa dafsdafdsaf exited observer at their location.
[16:36:04]	[OOC] CCA.C14-UNION.EpU.72633: Neato
[16:36:11]	[OOC] fdsfsdsa dafsdafdsaf: waiting for hte shit ot oupload
[16:36:16]	[OOC] CCA.C14-UNION.EpU.72633: Yee
[16:36:28]	[LOOC] CCA.C14-UNION.EpU.72633: Good desc
[16:36:30]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[16:36:36]	[OOC] CCA.C14-UNION.i5.36307: gotta do the horses and stuff afk
[16:36:42]	[OOC] CCA.C14-UNION.EpU.72633: Bet
[16:36:56]	CCA.C14-UNION.i5.36307 used command '/CharFallOver'.
[16:36:58]	[OOC] fdsfsdsa dafsdafdsaf: ordinals are hard ot understand
[16:36:58]	fdsfsdsa dafsdafdsaf entered observer.
[16:36:59]	fdsfsdsa dafsdafdsaf exited observer at their location.
[16:37:09]	[OOC] CCA.C14-UNION.EpU.72633: They are and its scary to me
[16:37:12]	[OOC] fdsfsdsa dafsdafdsaf: yeah
[16:37:14]	[OOC] fdsfsdsa dafsdafdsaf: imagine like
[16:37:17]	[OOC] fdsfsdsa dafsdafdsaf: actually being a soldier
[16:37:24]	[OOC] fdsfsdsa dafsdafdsaf: and being like "i don't know what he saying"
[16:37:31]	[OOC] fdsfsdsa dafsdafdsaf: LIKE HOW DO I TRANSCRIBE THAT SHIT
[16:37:45]	[OOC] fdsfsdsa dafsdafdsaf: that's bouncer, that's good
[16:37:51]	[OOC] CCA.C14-UNION.EpU.72633: The ordinals are kinda a hazard for other units just because we don't know what their saying half the time.
[16:37:57]	[OOC] fdsfsdsa dafsdafdsaf: honestly
[16:38:12]	[OOC] CCA.C14-UNION.EpU.72633: they also have a laughing Voice line and its fucking terrifying
[16:38:20]	[OOC] fdsfsdsa dafsdafdsaf: i'll try of ind it
[16:38:33]	[OOC] fdsfsdsa dafsdafdsaf: FUCK THEIR BREATHING
[16:38:40]	[OOC] CCA.C14-UNION.EpU.72633: Lmao
[16:39:13]	[OOC] fdsfsdsa dafsdafdsaf: that sounds cool
[16:39:24]	[OOC] CCA.C14-UNION.EpU.72633: Amazing event last night, too bad I did a fucky wucky and made myself look like a comeplete idiot
[16:39:44]	fdsfsdsa dafsdafdsaf entered observer.
[16:39:44]	[OOC] CCA.C14-UNION.EpU.72633: Still good event, easily my favorite one
[16:39:48]	[OOC] fdsfsdsa dafsdafdsaf: thank you
[16:39:51]	[OOC] fdsfsdsa dafsdafdsaf: no you're fine dw
[16:39:55]	fdsfsdsa dafsdafdsaf exited observer at their location.
[16:40:05]	[OOC] fdsfsdsa dafsdafdsaf: that's
[16:40:08]	[OOC] fdsfsdsa dafsdafdsaf: so fucking
[16:40:15]	[OOC] CCA.C14-UNION.EpU.72633: it is scary ;-;
[16:40:25]	[OOC] CCA.C14-UNION.EpU.72633: Imagine hearing that when your hiding in the sewers ;-;
[16:40:42]	[OOC] fdsfsdsa dafsdafdsaf: the suppressors sound kinda cool
[16:40:46]	[OOC] CCA.C14-UNION.EpU.72633: Just that voice chuckling while you can hear him move around
[16:40:50]	[OOC] CCA.C14-UNION.EpU.72633: They do
[16:40:50]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[16:41:13]	[OOC] CCA.C14-UNION.EpU.72633: The suppressors sound a lot different than most Combine units.
[16:41:17]	[OOC] fdsfsdsa dafsdafdsaf: true
[16:41:21]	[OOC] fdsfsdsa dafsdafdsaf: i kinda like it
[16:41:27]	[OOC] CCA.C14-UNION.EpU.72633: Less vocoded and more scifi
[16:41:29]	[OOC] fdsfsdsa dafsdafdsaf: can we make this the new roger roger
[16:41:30]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[16:41:33]	[OOC] CCA.C14-UNION.EpU.72633: Yes
[16:41:36]	[OOC] CCA.C14-UNION.EpU.72633: Please do
[16:41:57]	[OOC] fdsfsdsa dafsdafdsaf: THEY HAVE 6 LINES FOR LAUGIHNG
[16:42:16]	[OOC] CCA.C14-UNION.EpU.72633: I can imagine they just play all of those while spraying at you
