[09:34:18]	GamingTheGames has connected.
[13:36:47]	CCA.C17-UNION.i3.93347 ran 'take' on item 'Notepad' (#1499)
[13:36:47]	CCA.C17-UNION.i3.93347 has gained a 'Notepad' #1499.
[13:36:52]	CCA.C17-UNION.i3.93347 opened the '' #56 container.
[13:36:56]	CCA.C17-UNION.i3.93347 closed the '' #56 container.
[13:39:01]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:39:05]	CCA.C17-UNION.i1.51023 entered observer.
[13:39:29]	CCA.C17-UNION.i5.74645 ran 'Silence' on item 'Hybrid Radio' (#4759)
[13:39:32]	CCA.C17-UNION.i5.74645 ran 'Silence' on item 'Hybrid Radio' (#4759)
[13:39:34]	CCA.C17-UNION.i5.74645 ran 'Toggle' on item 'Hybrid Radio' (#4759)
[13:39:35]	CCA.C17-UNION.i5.74645 ran 'Toggle' on item 'Hybrid Radio' (#4759)
[13:39:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:40:07]	[LOOC] CCA.C17-UNION.i1.51023: unlock please
[13:40:09]	CCA.C17-UNION.i1.51023 has gained 10 tokens.
[13:40:11]	[LOOC] CCA.C17-UNION.i3.93347: uh
[13:40:14]	[LOOC] CCA.C17-UNION.i3.93347: yikes
[13:40:15]	[LOOC] CCA.C17-UNION.i5.74645: hmmmm
[13:40:25]	[LOOC] CCA.C17-UNION.i3.93347: someone aperently keeps locking the grotto, but uhh
[13:40:38]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[13:40:40]	[LOOC] CCA.C17-UNION.i5.74645: goddammit
[13:40:44]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:40:45]	CCA.C17-UNION.i1.51023 entered observer.
[13:40:53]	CCA.C17-UNION.i3.93347 opened the '' #56 container.
[13:40:55]	CCA.C17-UNION.i3.93347 closed the '' #56 container.
[13:41:29]	culture has connected.
[13:41:36]	[OOC] CCA.C17-UNION.i3.93347: *ah*
[13:41:52]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:41:56]	CCA.C17-UNION.i1.51023 entered observer.
[13:41:56]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:41:57]	CCA.C17-UNION.i1.51023 entered observer.
[13:41:59]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:41:59]	CCA.C17-UNION.i1.51023 entered observer.
[13:42:20]	[LOOC] CCA.C17-UNION.i3.93347: I might have to flag down for the ratio in a second :c
[13:42:27]	[LOOC] CCA.C17-UNION.i5.74645: damn
[13:42:51]	culture (STEAM_0:0:160134462) has disconnected.
[13:43:01]	CCA.C17-UNION.i3.93347 used the 'Ration Dispenser' vendor.
[13:43:03]	CCA.C17-UNION.i3.93347 has gained 0 tokens.
[13:43:03]	CCA.C17-UNION.i3.93347 has gained a 'Civil Protection Functionary Grade Ration' #4776.
[13:43:06]	CCA.C17-UNION.i5.74645 used the 'Ration Dispenser' vendor.
[13:43:08]	CCA.C17-UNION.i5.74645 has gained 0 tokens.
[13:43:08]	CCA.C17-UNION.i5.74645 has gained a 'Civil Protection Functionary Grade Ration' #4777.
[13:43:31]	CCA.C17-UNION.i5.74645 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#4777)
[13:43:31]	CCA.C17-UNION.i5.74645 has gained a 'Civil Protection Functionary Grade Food Product' #4778.
[13:43:31]	CCA.C17-UNION.i5.74645 has gained a 'Universal Union Functionary Grade Beverage' #4779.
[13:43:52]	CCA.C17-UNION.i5.74645 ran 'Consume' on item 'Civil Protection Functionary Grade Food Product' (#4778)
[13:43:55]	CCA.C17-UNION.i5.74645 ran 'Consume' on item 'Universal Union Functionary Grade Beverage' (#4779)
[13:44:00]	CCA.C17-UNION.i5.74645 used the 'Ration Dispenser' vendor.
[13:44:01]	Dilly_ loaded the character 'Carson Copper'
[13:44:02]	CCA.C17-UNION.i5.74645 has gained 0 tokens.
[13:44:02]	CCA.C17-UNION.i5.74645 has gained a 'Civil Protection Functionary Grade Ration' #4777.
[13:44:11]	Carson Copper ran 'Equip' on item 'Green Citizen Suit' (#35)
[13:44:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:44:45]	[OOC] Carson Copper: wait Q why did you need to tp me to unlock the grotto when you're on your cp char?
[13:44:54]	culture has connected.
[13:45:30]	Carson Copper ran 'View' on item 'Notepad' (#3034)
[13:45:36]	Carson Copper ran 'View' on item 'Notepad' (#3069)
[13:47:02]	CCA.C17-UNION.i5.74645 used command '/ViewData carson'.
[13:47:06]	culture created the character 'Bob Daniels'
[13:47:06]	Bob Daniels has gained a 'Suitcase' #4778.
[13:47:07]	Bob Daniels has gained a 'Relocation Coupon' #4779.
[13:47:07]	Bob Daniels has gained a 'Green Citizen Suit' #4780.
[13:47:07]	Bob Daniels has gained a 'Citizen Filter' #4781.
[13:47:07]	culture loaded the character 'Bob Daniels'
[13:47:21]	[OOC] Bob Daniels: sup
[13:47:25]	[OOC] CCA.C17-UNION.i5.74645: hello
[13:47:29]	Bob Daniels ran 'Equip' on item 'Green Citizen Suit' (#4780)
[13:47:31]	Bob Daniels ran 'EquipUn' on item 'Green Citizen Suit' (#4780)
[13:47:39]	FB|| light ROOM has connected.
[13:47:39]	CCA.C17-UNION.i5.74645 used command '/ViewData bob'.
[13:47:47]	CCA.C17-UNION.i5.74645 used command '/ViewData carson'.
[13:48:06]	Bob Daniels ran 'drop' on item 'Relocation Coupon' (#4779)
[13:48:06]	Bob Daniels has lost a 'Relocation Coupon' #4779.
[13:48:11]	CCA.C17-UNION.i5.74645 ran 'take' on item 'Relocation Coupon' (#4779)
[13:48:11]	CCA.C17-UNION.i5.74645 has gained a 'Relocation Coupon' #4779.
[13:48:30]	Carson Copper ran 'View' on item 'Notepad' (#3034)
[13:48:32]	CCA.C17-UNION.i5.74645 ran 'take' on item 'Citizen ID' (#4782)
[13:48:32]	CCA.C17-UNION.i5.74645 has gained a 'Citizen ID' #4782.
[13:48:41]	CCA.C17-UNION.i5.74645 used command '/ViewData bob'.
[13:49:11]	FB|| light ROOM loaded the character 'PFC Mitchell 'Lazzy' Lazarus'
[13:49:13]	CCA.C17-UNION.i5.74645 used command '/ViewData bob'.
[13:49:22]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Q ADD THE CONSCRIPT MODEL IS SENT YOU SMH
[13:49:22]	CCA.C17-UNION.i5.74645 used command '/ViewData bob'.
[13:49:25]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Also yo
[13:49:28]	[OOC] Carson Copper: no
[13:49:30]	[OOC] Carson Copper: hi
[13:49:38]	[OOC] PFC Mitchell 'Lazzy' Lazarus: No fuck off
[13:49:44]	[OOC] Carson Copper: no fuck off even more
[13:49:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:49:47]	[LOOC] Carson Copper: :c
[13:49:49]	[OOC] Carson Copper: :c
[13:50:03]	[OOC] Bob Daniels: do i need to apply for cp now? my whitelist is gone lol
[13:50:07]	CCA.C17-UNION.i5.74645 used command '/ViewData bob'.
[13:50:21]	[OOC] PFC Mitchell 'Lazzy' Lazarus: You should get it back if it's gone.
[13:50:28]	[OOC] Bob Daniels: well i don't have it
[13:50:36]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Then Q will give you it once he's not AFK.
[13:50:39]	[OOC] Bob Daniels: and my characters are gone too
[13:50:40]	CCA.C17-UNION.i5.74645 used command '/Radio Shouldn't every civilian know what their blood type is? This one doesn't.'.
[13:50:53]	[OOC] Carson Copper: Likely from the other database then, uhhhh 
[13:50:54]	[OOC] CCA.C17-UNION.i1.51023: sorry hy i'm DMing peopel
[13:51:12]	PFC Mitchell 'Lazzy' Lazarus used command '/Radio From my understanding it doesn't really matter, they'll figure it out once a HELIX gets to them.'.
[13:51:12]	CCA.C17-UNION.i1.51023 used command '/Radio Are you r*t*rd*d? No, why the hell should they?'.
[13:51:24]	CCA.C17-UNION.i1.51023 used command '/Radio Are you r#t#rd#d? No, why the hell should they?'.
[13:51:29]	[OOC] Bob Daniels: wish i had an alt so i can play on impulse when im banned, that servers gooood
[13:51:30]	CCA.C17-UNION.i5.74645 ran 'drop' on item 'Citizen ID' (#4782)
[13:51:30]	CCA.C17-UNION.i5.74645 has lost a 'Citizen ID' #4782.
[13:51:36]	[OOC] Bob Daniels: but nothing beats the original hl2rp
[13:51:39]	Bob Daniels ran 'take' on item 'Citizen ID' (#4782)
[13:51:39]	Bob Daniels has gained a 'Citizen ID' #4782.
[13:51:47]	PFC Mitchell 'Lazzy' Lazarus used command '/Radio Holy hell, didn't your commanding officer tell you to chill it on the radio?'.
[13:52:06]	PFC Mitchell 'Lazzy' Lazarus used command '/Radio Come on, you're CCA and you're talking like a Conscript.'.
[13:52:15]	CCA.C17-UNION.i5.74645 opened the '' #229 container.
[13:52:20]	CCA.C17-UNION.i5.74645 closed the '' #229 container.
[13:52:24]	CCA.C17-UNION.i5.74645 used command '/ViewData bob'.
[13:52:39]	CCA.C17-UNION.i5.74645 used command '/ViewData carson'.
[13:52:42]	CCA.C17-UNION.i5.74645 used command '/ViewData bob'.
[13:52:52]	[OOC] Carson Copper: u right
[13:52:54]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:52:55]	CCA.C17-UNION.i1.51023 entered observer.
[13:52:55]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:52:56]	CCA.C17-UNION.i1.51023 entered observer.
[13:52:56]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:52:56]	CCA.C17-UNION.i1.51023 entered observer.
[13:52:56]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:52:57]	CCA.C17-UNION.i1.51023 entered observer.
[13:52:59]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:52:59]	CCA.C17-UNION.i1.51023 entered observer.
[13:53:00]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:53:01]	CCA.C17-UNION.i1.51023 entered observer.
[13:53:01]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:53:02]	CCA.C17-UNION.i1.51023 entered observer.
[13:53:04]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:53:04]	CCA.C17-UNION.i1.51023 entered observer.
[13:53:06]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:53:08]	CCA.C17-UNION.i1.51023 entered observer.
[13:53:13]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:53:14]	[OOC] PFC Mitchell 'Lazzy' Lazarus: WHAT THE FUCK IS YOUR PAC
[13:53:15]	CCA.C17-UNION.i1.51023 entered observer.
[13:53:19]	[OOC] PFC Mitchell 'Lazzy' Lazarus: WHY
[13:53:21]	[OOC] PFC Mitchell 'Lazzy' Lazarus: GET RID OF IT
[13:53:23]	[OOC] Bob Daniels: same old boring i17 :/
[13:53:27]	[OOC] CCA.C17-UNION.i5.74645: what
[13:53:30]	[ME] CCA.C17-UNION.i1.51023: would flick his wrist.
[13:53:31]	[OOC] PFC Mitchell 'Lazzy' Lazarus: i17 is not boring imma be real.
[13:53:35]	[OOC] CCA.C17-UNION.i1.51023: dude disable your pac
[13:53:38]	[OOC] CCA.C17-UNION.i1.51023: it is boring to an extent
[13:53:39]	[ME] CCA.C17-UNION.i1.51023: would flick his wrist.
[13:53:43]	[OOC] CCA.C17-UNION.i5.74645: its not even on right now
[13:53:43]	[OOC] CCA.C17-UNION.i1.51023: because it's used so fuckinf widely
[13:53:47]	[OOC] CCA.C17-UNION.i5.74645: what are you saying
[13:53:50]	[OOC] Bob Daniels: i cant figure out what to do lol
[13:53:55]	[ME] CCA.C17-UNION.i1.51023: would flick his wrist.
[13:53:59]	[OOC] CCA.C17-UNION.i1.51023: your pac is on right now bruv
[13:54:08]	[OOC] CCA.C17-UNION.i1.51023: did you hit wear after hitting clear
[13:54:13]	[OOC] CCA.C17-UNION.i5.74645: yea
[13:54:18]	[OOC] CCA.C17-UNION.i5.74645: hold on let me do the console shit
[13:54:29]	[OOC] Bob Daniels: so can i have my whitelist
[13:54:34]	[OOC] CCA.C17-UNION.i5.74645: how about now
[13:54:42]	CCA.C17-UNION.i1.51023 used command '/PlyWhitelist daniel civil'.
[13:54:44]	[OOC] CCA.C17-UNION.i1.51023: yeah
[13:54:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:55:03]	[LOOC] CCA.C17-UNION.i5.74645: am i still wearing cans
[13:55:03]	[OOC] CCA.C17-UNION.i1.51023: chicken is joninig
[13:55:06]	[LOOC] PFC Mitchell 'Lazzy' Lazarus: yes
[13:55:06]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:55:09]	CCA.C17-UNION.i1.51023 has gained 10 tokens.
[13:55:09]	[LOOC] CCA.C17-UNION.i5.74645: oh my god pac
[13:55:09]	[LOOC] CCA.C17-UNION.i1.51023: i just did pac_restart
[13:55:21]	culture created the character 'CCA.C17-RCT.11384'
[13:55:21]	CCA.C17-RCT.11384 has gained a 'Squad Identification Device' #4783.
[13:55:21]	CCA.C17-RCT.11384 has gained a 'USP Match' #4784.
[13:55:21]	CCA.C17-RCT.11384 has gained a '9mm Pistol Magazine' #4785.
[13:55:21]	CCA.C17-RCT.11384 has gained a '9mm Pistol Magazine' #4786.
[13:55:21]	[LOOC] CCA.C17-UNION.i1.51023: nerbermind
[13:55:22]	[LOOC] CCA.C17-UNION.i1.51023: it's pac
[13:55:25]	[LOOC] CCA.C17-UNION.i1.51023: it's back*
[13:55:25]	culture loaded the character 'CCA.C17-RCT.11384'
[13:55:27]	CCA.C17-UNION.i1.51023 entered observer.
[13:55:27]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:55:32]	[LOOC] CCA.C17-UNION.i1.51023: you're ognan have to rejoin
[13:55:38]	[LOOC] CCA.C17-UNION.i5.74645: yea i figured
[13:55:42]	matt saton loaded the character 'Lee Maylor'
[13:55:42]	[LOOC] CCA.C17-UNION.i5.74645: my bad, ill brb
[13:55:42]	[ME] Lee Maylor: would take out his combat knife and cut the individual's ties.
[13:55:44]	CCA.C17-RCT.11384 used command '/CharDesc'.
[13:55:44]	Lee Maylor entered observer.
[13:55:47]	elkay (STEAM_0:1:76095374) has disconnected.
[13:55:50]	Chicken has connected.
[13:55:50]	[OOC] Lee Maylor: rejonibg
[13:55:53]	CCA.C17-RCT.11384 used command '/CharDesc Standard unit with standard gear.'.
[13:56:00]	Lee Maylor used command '/CharSetName rct CCA.C17-GRID.i4.41034'.
[13:56:04]	Lee Maylor used command '/CharSetSkin grid 3'.
[13:56:14]	[OOC] CCA.C17-GRID.i4.41034: you remember that i was grid???
[13:56:25]	[OOC] CCA.C17-GRID.i4.41034: im crying of happiness
[13:56:44]	CCA.C17-GRID.i4.41034 ran 'Equip' on item 'USP Match' (#4784)
[13:56:45]	CCA.C17-GRID.i4.41034 ran 'use' on item '9mm Pistol Magazine' (#4785)
[13:56:47]	[OOC] PFC Mitchell 'Lazzy' Lazarus: GRID is cringe smh
[13:56:48]	CCA.C17-GRID.i4.41034 ran 'use' on item '9mm Pistol Magazine' (#4786)
[13:56:49]	elkay has connected.
[13:57:02]	matt saton created the character 'CCA.C17-RCT.06832'
[13:57:02]	CCA.C17-RCT.06832 has gained a 'Squad Identification Device' #4785.
[13:57:02]	CCA.C17-RCT.06832 has gained a 'USP Match' #4786.
[13:57:02]	CCA.C17-RCT.06832 has gained a '9mm Pistol Magazine' #4787.
[13:57:02]	CCA.C17-RCT.06832 has gained a '9mm Pistol Magazine' #4788.
[13:57:09]	matt saton loaded the character 'CCA.C17-RCT.06832'
[13:57:16]	CCA.C17-QrM.49154 used command '/CharSetName rct CCA.C17-QrM.49154'.
[13:57:17]	elkay loaded the character 'CCA.C17-UNION.i5.74645'
[13:57:17]	CCA.C17-QrM.49154 entered observer.
[13:57:18]	CCA.C17-QrM.49154 exited observer at their location.
[13:57:18]	CCA.C17-QrM.49154 entered observer.
[13:57:19]	CCA.C17-QrM.49154 exited observer at their location.
[13:57:19]	CCA.C17-QrM.49154 entered observer.
[13:57:20]	CCA.C17-QrM.49154 exited observer at their location.
[13:57:20]	CCA.C17-QrM.49154 entered observer.
[13:57:26]	[OOC] PFC Mitchell 'Lazzy' Lazarus: So many fucking CCA holy shit
[13:57:31]	CCA.C17-QrM.49154 used command '/CharSetName grid.i4 CCA.C17-GRID.i5.41034'.
[13:57:33]	CCA.C17-QrM.49154 exited observer at their location.
[13:57:38]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Imagine not being Conscript smh
[13:57:40]	CCA.C17-QrM.49154 used command '/CharSetSkin qrm 5'.
[13:57:46]	[LOOC] CCA.C17-UNION.i5.74645: am i still cans
[13:57:50]	[LOOC] PFC Mitchell 'Lazzy' Lazarus: nope
[13:57:51]	Chicken loaded the character 'Steven Kenneth'
[13:57:52]	CCA.C17-QrM.49154 used command '/CharSetSkin qrm 6'.
[13:57:53]	[LOOC] CCA.C17-UNION.i5.74645: thank fuck
[13:57:53]	CCA.C17-QrM.49154 used command '/CharSetSkin qrm 4'.
[13:57:54]	CCA.C17-QrM.49154 used command '/CharSetSkin qrm 3'.
[13:57:56]	CCA.C17-QrM.49154 used command '/CharSetSkin qrm 8'.
[13:57:58]	CCA.C17-QrM.49154 used command '/CharSetSkin qrm 11'.
[13:57:59]	CCA.C17-QrM.49154 used command '/CharSetSkin qrm 10'.
[13:58:01]	Chicken loaded the character 'PVT Frank Chesko'
[13:58:02]	CCA.C17-QrM.49154 used command '/CharSetSkin qrm 12'.
[13:58:03]	PVT Frank Chesko has taken 13 damage from worldspawn.
[13:58:04]	[OOC] PVT Frank Chesko: cum
[13:58:07]	CCA.C17-QrM.49154 used command '/CharSetSkin qrm 9'.
[13:58:07]	[LOOC] CCA.C17-UNION.i5.74645: my model didnt show that i was so i assumed i wasnt 
[13:58:08]	[OOC] CCA.C17-QrM.49154: no
[13:58:09]	[OOC] CCA.C17-QrM.49154: stop
[13:58:17]	[OOC] CCA.C17-QrM.49154: grid come back to the armorty pleaese
[13:58:17]	CCA.C17-QrM.49154 entered observer.
[13:58:37]	CCA.C17-QrM.49154 exited observer at their location.
[13:58:38]	[ME] CCA.C17-QrM.49154: would flick his wrist.
[13:58:40]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Gonna join gen 1.
[13:58:43]	Wraygun has connected.
[13:58:58]	DRD has connected.
[13:59:00]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 5'.
[13:59:02]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 7'.
[13:59:04]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 1'.
[13:59:04]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 2'.
[13:59:05]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 3'.
[13:59:06]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 4'.
[13:59:07]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 5'.
[13:59:09]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 8'.
[13:59:10]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 9'.
[13:59:11]	CCA.C17-QrM.49154 used command '/CharSetBodygroup qrm mask 2'.
[13:59:32]	CCA.C17-QrM.49154 used command '/CharSetClass qrm armory'.
[13:59:33]	CCA.C17-QrM.49154 used the 'Armory Supply' vendor.
[13:59:39]	CCA.C17-QrM.49154 has gained 0 tokens.
[13:59:39]	CCA.C17-QrM.49154 has gained a '4.6x30 Rounds' #4789.
[13:59:39]	CCA.C17-QrM.49154 has gained 0 tokens.
[13:59:39]	CCA.C17-QrM.49154 has gained a '4.6x30 Rounds' #4790.
[13:59:40]	CCA.C17-QrM.49154 has gained 0 tokens.
[13:59:40]	CCA.C17-QrM.49154 has gained a '4.6x30 Rounds' #4791.
[13:59:44]	CCA.C17-QrM.49154 ran 'drop' on item '4.6x30 Rounds' (#4791)
[13:59:44]	CCA.C17-QrM.49154 has lost a '4.6x30 Rounds' #4791.
[13:59:48]	CCA.C17-QrM.49154 used the 'Armory Supply' vendor.
[13:59:50]	CCA.C17-QrM.49154 has gained 0 tokens.
[13:59:50]	CCA.C17-QrM.49154 has gained a 'KIBA Arms Ammocase' #4792.
[13:59:54]	CCA.C17-QrM.49154 ran 'take' on item '4.6x30 Rounds' (#4791)
[13:59:54]	CCA.C17-QrM.49154 has gained a '4.6x30 Rounds' #4791.
[13:59:58]	CCA.C17-QrM.49154 ran 'drop' on item 'KIBA Arms Ammocase' (#4792)
[13:59:58]	CCA.C17-QrM.49154 has lost a 'KIBA Arms Ammocase' #4792.
[13:59:58]	CCA.C17-QrM.49154 has lost a '4.6x30 Rounds' #4791.
[13:59:58]	CCA.C17-QrM.49154 has lost a '4.6x30 Rounds' #4790.
[13:59:58]	CCA.C17-QrM.49154 has lost a '4.6x30 Rounds' #4789.
[14:00:01]	Wraygun loaded the character 'Pierre Valois'
[14:00:05]	PVT Frank Chesko ran 'take' on item 'KIBA Arms Ammocase' (#4792)
[14:00:06]	PVT Frank Chesko ran 'take' on item 'KIBA Arms Ammocase' (#4792)
[14:00:08]	Pierre Valois ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#57)
[14:00:09]	Pierre Valois ran 'Equip' on item 'Cyclopic Citizen Suit' (#57)
[14:00:10]	PVT Frank Chesko ran 'use' on item '4.6x30 Rounds' (#1532)
[14:00:10]	CCA.C17-UNION.i5.74645 used command '/ViewData pierre'.
[14:00:10]	PVT Frank Chesko ran 'use' on item '4.6x30 Rounds' (#1533)
[14:00:11]	PVT Frank Chesko ran 'take' on item 'KIBA Arms Ammocase' (#4792)
[14:00:11]	PVT Frank Chesko has gained a 'KIBA Arms Ammocase' #4792.
[14:00:11]	PVT Frank Chesko has gained a '4.6x30 Rounds' #4791.
[14:00:11]	PVT Frank Chesko has gained a '4.6x30 Rounds' #4790.
[14:00:11]	PVT Frank Chesko has gained a '4.6x30 Rounds' #4789.
[14:00:17]	PVT Frank Chesko ran 'drop' on item '4.6x30 Rounds' (#4790)
[14:00:17]	PVT Frank Chesko has lost a '4.6x30 Rounds' #4790.
[14:00:19]	PVT Frank Chesko ran 'take' on item '4.6x30 Rounds' (#4790)
[14:00:19]	PVT Frank Chesko has gained a '4.6x30 Rounds' #4790.
[14:00:21]	PVT Frank Chesko ran 'drop' on item 'KIBA Arms Ammocase' (#4792)
[14:00:21]	PVT Frank Chesko has lost a 'KIBA Arms Ammocase' #4792.
[14:00:23]	CCA.C17-QrM.49154 ran 'take' on item 'KIBA Arms Ammocase' (#4792)
[14:00:23]	CCA.C17-QrM.49154 has gained a 'KIBA Arms Ammocase' #4792.
[14:00:25]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Ratio is amazing
[14:00:26]	CCA.C17-GRID.i5.41034 has gained 10 tokens.
[14:00:29]	[OOC] PVT Frank Chesko: mhm
[14:00:30]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Absolutely great.
[14:00:32]	[OOC] CCA.C17-QrM.49154: flagging dwn here in a sec
[14:00:35]	[OOC] PVT Frank Chesko: wait
[14:00:36]	[OOC] CCA.C17-QrM.49154: jut need to do qrm stuff
[14:00:36]	[OOC] Pierre Valois: "If it works, don't break it."
[14:00:38]	[OOC] PVT Frank Chesko: that was q qrm
[14:00:39]	[OOC] PVT Frank Chesko: damn
[14:01:00]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Make the bad Conscript flag off smh.
[14:01:23]	CCA.C17-QrM.49154 used the 'Armory Supply' vendor.
[14:01:24]	PVT Frank Chesko ran 'Equip' on item 'Conscript Hazmat Armor' (#171)
[14:01:29]	CCA.C17-QrM.49154 has gained 0 tokens.
[14:01:29]	CCA.C17-QrM.49154 has gained a 'Zip Tie' #4793.
[14:01:30]	CCA.C17-QrM.49154 has gained 0 tokens.
[14:01:30]	CCA.C17-QrM.49154 has gained a 'Zip Tie' #4794.
[14:01:30]	CCA.C17-QrM.49154 has gained 0 tokens.
[14:01:30]	CCA.C17-QrM.49154 has gained a 'Zip Tie' #4795.
[14:01:35]	CCA.C17-QrM.49154 has gained 0 tokens.
[14:01:35]	CCA.C17-QrM.49154 has gained a 'Hybrid Radio' #4796.
[14:01:45]	[OOC] PVT Frank Chesko: BRB 2 MIN
[14:01:45]	CCA.C17-QrM.49154 ran 'drop' on item 'KIBA Arms Ammocase' (#4792)
[14:01:45]	CCA.C17-QrM.49154 has lost a 'KIBA Arms Ammocase' #4792.
[14:01:45]	CCA.C17-QrM.49154 has lost a 'Hybrid Radio' #4796.
[14:01:45]	CCA.C17-QrM.49154 has lost a 'Zip Tie' #4793.
[14:01:45]	CCA.C17-QrM.49154 has lost a 'Zip Tie' #4794.
[14:01:45]	CCA.C17-QrM.49154 has lost a 'Zip Tie' #4795.
[14:01:54]	CCA.C17-QrM.49154 used command '/ViewObjectives'.
[14:01:55]	CCA.C17-GRID.i5.41034 ran 'take' on item 'KIBA Arms Ammocase' (#4792)
[14:01:55]	CCA.C17-GRID.i5.41034 has gained a 'KIBA Arms Ammocase' #4792.
[14:01:55]	CCA.C17-GRID.i5.41034 has gained a 'Hybrid Radio' #4796.
[14:01:55]	CCA.C17-GRID.i5.41034 has gained a 'Zip Tie' #4793.
[14:01:55]	CCA.C17-GRID.i5.41034 has gained a 'Zip Tie' #4794.
[14:01:55]	CCA.C17-GRID.i5.41034 has gained a 'Zip Tie' #4795.
[14:02:09]	CCA.C17-QrM.49154 has gained 10 tokens.
[14:02:09]	CCA.C17-GRID.i5.41034 ran 'drop' on item 'KIBA Arms Ammocase' (#4792)
[14:02:09]	CCA.C17-GRID.i5.41034 has lost a 'KIBA Arms Ammocase' #4792.
[14:02:17]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[14:02:17]	[ME] CCA.C17-GRID.i5.41034: tampers with the radio
[14:02:21]	CCA.C17-GRID.i5.41034 ran 'AdMode' on item 'Hybrid Radio' (#4796)
[14:02:22]	CCA.C17-GRID.i5.41034 ran 'AdMode' on item 'Hybrid Radio' (#4796)
[14:02:23]	CCA.C17-GRID.i5.41034 ran 'AdMode' on item 'Hybrid Radio' (#4796)
[14:02:24]	CCA.C17-GRID.i5.41034 ran 'AdMode' on item 'Hybrid Radio' (#4796)
[14:02:26]	CCA.C17-GRID.i5.41034 ran 'Channel' on item 'Hybrid Radio' (#4796)
