[00:00:00]	[OOC] Drake Salvador: Aiight
[00:08:44]	1LT Samuel Brody has taken 1 damage from Andrew 'Razor' Gonzalez.
[00:08:44]	1LT Samuel Brody has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:08:44]	1LT Samuel Brody has taken 1 damage from Andrew 'Razor' Gonzalez.
[00:08:45]	1LT Samuel Brody has taken 12 damage from Areth  Martin.
[00:08:45]	Ethan King entered observer.
[00:08:46]	1LT Samuel Brody has taken 10 damage from Areth  Martin.
[00:08:46]	1LT Samuel Brody has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:08:46]	1LT Samuel Brody has taken 10 damage from Areth  Martin.
[00:08:46]	1LT Samuel Brody has taken 12 damage from Areth  Martin.
[00:08:46]	1LT Samuel Brody has taken 12 damage from Areth  Martin.
[00:08:47]	1LT Samuel Brody has taken 12 damage from Areth  Martin.
[00:08:47]	1LT Samuel Brody has taken 72 damage from Andrew 'Razor' Gonzalez.
[00:08:47]	1LT Samuel Brody has taken 12 damage from Areth  Martin.
[00:08:47]	1LT Samuel Brody has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:08:47]	Jim Bostello has taken 5 damage from npc_headcrab_fast.
[00:08:47]	1LT Samuel Brody has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:08:47]	1LT Samuel Brody has taken 72 damage from Areth  Martin.
[00:08:47]	1LT Samuel Brody has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:08:47]	1LT Samuel Brody has taken 1 damage from Andrew 'Razor' Gonzalez.
[00:08:48]	1LT Samuel Brody has taken 12 damage from Areth  Martin.
[00:08:48]	Andrew 'Razor' Gonzalez has taken 72 damage from 1LT Samuel Brody.
[00:08:48]	Andrew 'Razor' Gonzalez has taken 72 damage from 1LT Samuel Brody.
[00:08:48]	Andrew 'Razor' Gonzalez has taken 72 damage from 1LT Samuel Brody.
[00:08:48]	Andrew 'Razor' Gonzalez has taken 12 damage from 1LT Samuel Brody.
[00:08:48]	Andrew 'Razor' Gonzalez has taken 12 damage from 1LT Samuel Brody.
[00:08:49]	1LT Samuel Brody has taken 1 damage from Areth  Martin.
[00:08:49]	Andrew 'Razor' Gonzalez has taken 10 damage from Areth  Martin.
[00:08:49]	Areth  Martin has killed Andrew 'Razor' Gonzalez with weapon_smg1.
[00:08:49]	Dispatch set legBreakDuration to '0.5'.
[00:08:49]	Jim Bostello has taken 5 damage from npc_headcrab_fast.
[00:08:49]	Areth  Martin has taken 72 damage from 1LT Samuel Brody.
[00:08:49]	Areth  Martin has taken 12 damage from 1LT Samuel Brody.
[00:08:50]	Areth  Martin has taken 12 damage from 1LT Samuel Brody.
[00:08:51]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:08:53]	Andrew 'Razor' Gonzalez ran 'Equip' on item 'MP7' (#14136)
[00:08:54]	Jim Bostello has taken 5 damage from npc_headcrab_fast.
[00:08:54]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:54]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:54]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:54]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:54]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:54]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:55]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:55]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:55]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:55]	Jim Bostello has taken 5 damage from npc_headcrab_fast.
[00:08:55]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:55]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:55]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:56]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:56]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:56]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:56]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:56]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:56]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:56]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:57]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:08:58]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:58]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:58]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:58]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:58]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:58]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:58]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:58]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:58]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	1LT Samuel Brody has taken 1 damage from Drake Salvador.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	1LT Samuel Brody has taken 72 damage from Drake Salvador.
[00:08:59]	Areth  Martin has taken 4 damage from 1LT Samuel Brody.
[00:08:59]	1LT Samuel Brody has taken 72 damage from Drake Salvador.
[00:08:59]	Drake Salvador has killed 1LT Samuel Brody with weapon_smg1.
[00:09:00]	Jim Bostello has taken 5 damage from npc_headcrab_fast.
[00:09:01]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:02]	Jim Bostello has taken 5 damage from npc_headcrab_fast.
[00:09:02]	1LT Samuel Brody has taken 5 damage from npc_headcrab_fast.
[00:09:05]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:05]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:06]	[OOC] Dispatch: holy shit
[00:09:06]	Drake Salvador has taken 12 damage from Areth  Martin.
[00:09:06]	Drake Salvador has taken 12 damage from Areth  Martin.
[00:09:06]	Drake Salvador has taken 12 damage from Areth  Martin.
[00:09:06]	Drake Salvador has taken 12 damage from Areth  Martin.
[00:09:07]	[OOC] Andrew 'Razor' Gonzalez: Guess me and a yellow are out so
[00:09:10]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:10]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:11]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:13]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:13]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:15]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:16]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:16]	[OOC] Andrew 'Razor' Gonzalez: 2v3
[00:09:17]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:17]	[OOC] Jim Bostello: i am so confused
[00:09:18]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:19]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:20]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:21]	[OOC] Dispatch: what was confusing jim
[00:09:22]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:22]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:23]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:23]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:24]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:24]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:24]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:25]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:27]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:27]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:27]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:29]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:29]	[OOC] Andrew 'Razor' Gonzalez: 2v2
[00:09:30]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:30]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:31]	[OOC] Dispatch: you shoot green people, green people shoot you
[00:09:31]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:33]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:35]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:36]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:37]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:38]	Ethan King exited observer at their location.
[00:09:38]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:38]	Ethan King entered observer.
[00:09:39]	Ethan King exited observer at their location.
[00:09:40]	[OOC] Jim Bostello: i couldnt tell who was who lol everyones wearing the same outfit as everyone else
[00:09:41]	[OOC] Andrew 'Razor' Gonzalez: Go green team lets get that W
[00:09:43]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:43]	[OOC] 1LT Samuel Brody: its 1v2 from teh looks of things
[00:09:44]	[LOOC] Andrew 'Razor' Gonzalez: BRO HOW
[00:09:44]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:44]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:45]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:46]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:48]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:49]	[OOC] Dispatch: that is why i esepcially gave you oclors
[00:09:50]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:52]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:53]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:55]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:55]	[OOC] 1LT Samuel Brody: everyone died
[00:09:55]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:56]	[LOOC] Andrew 'Razor' Gonzalez: There were only 3 of us
[00:09:57]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:58]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:59]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:09:59]	[LOOC] Andrew 'Razor' Gonzalez: 4 of you
[00:10:00]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:01]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:01]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:03]	[LOOC] Ethan King: And 3 of us
[00:10:03]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:04]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:04]	Dispatch used command '/Event Victory!'.
[00:10:04]	[OOC] Drake Salvador: 2 Green still up, is a yellow alive?
[00:10:05]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:05]	[LOOC] Ethan King: What?
[00:10:06]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:06]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:08]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:08]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:09]	[OOC] Jim Bostello: we only had 3 people
[00:10:10]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:10]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:13]	[LOOC] Ethan King: it was a 3v3
[00:10:14]	[LOOC] Andrew 'Razor' Gonzalez: Weren't there 4?
[00:10:15]	Dispatch used command '/Event The non-anti-citizens have won!'.
[00:10:15]	[OOC] Drake Salvador: Same
[00:10:16]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:16]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:16]	[OOC] Jim Bostello: no
[00:10:17]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:18]	[OOC] 1LT Samuel Brody: it was 3v3
[00:10:18]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:19]	Drake Salvador has taken 72 damage from Areth  Martin.
[00:10:20]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:21]	[LOOC] Andrew 'Razor' Gonzalez: oh
[00:10:21]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:22]	Drake Salvador has taken 12 damage from Areth  Martin.
[00:10:22]	1LT Samuel Brody has taken 5 damage from npc_headcrab_fast.
[00:10:22]	Drake Salvador has taken 12 damage from Areth  Martin.
[00:10:23]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:24]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:25]	1LT Samuel Brody has taken 5 damage from npc_headcrab_fast.
[00:10:25]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:25]	[LOOC] Andrew 'Razor' Gonzalez: I saw 4
[00:10:26]	1LT Samuel Brody has taken 5 damage from npc_headcrab_fast.
[00:10:26]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:27]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:29]	Ethan King has taken 5 damage from npc_headcrab_fast.
[00:10:29]	[LOOC] Ethan King: negatory
[00:10:29]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:29]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:30]	Ethan King has taken 5 damage from npc_headcrab_fast.
[00:10:30]	[OOC] Dispatch: it was 3v3, was always 3v3, i said that to you
[00:10:32]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:33]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:34]	[OOC] Andrew 'Razor' Gonzalez: I died for green team
[00:10:37]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:39]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:40]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:40]	Ethan King has taken 5 damage from npc_headcrab_fast.
[00:10:43]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:44]	[OOC] Andrew 'Razor' Gonzalez: Yeah I got confused before the whole thing
[00:10:45]	Ethan King has taken 5 damage from npc_headcrab_fast.
[00:10:46]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:46]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:50]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:52]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:53]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:10:53]	Dispatch exited observer at their location.
[00:10:55]	Dispatch entered observer.
[00:10:58]	[OOC] Andrew 'Razor' Gonzalez: Since everyone looked olive green before sewer fight
[00:10:59]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:02]	[ME] Dispatch: doesn't resist being tied, searched or anything. They are completely compliant given that the situation does not escalate.
[00:11:03]	Dispatch used command '/PlySearch'.
[00:11:03]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:05]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:06]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:08]	[LOOC] Ethan King: Ah
[00:11:08]	[OOC] Drake Salvador: Olive Green, Piss Yellow
[00:11:09]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:11]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:16]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:18]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:19]	[LOOC] Areth  Martin: i see yelloeS!
[00:11:21]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:23]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:28]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:28]	Andrew 'Razor' Gonzalez has taken 5 damage from npc_headcrab_fast.
[00:11:30]	Andrew 'Razor' Gonzalez has taken 5 damage from npc_headcrab_fast.
[00:11:30]	Andrew 'Razor' Gonzalez has taken 5 damage from npc_headcrab_fast.
[00:11:31]	Andrew 'Razor' Gonzalez has taken 5 damage from npc_headcrab_fast.
[00:11:33]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:36]	Dispatch used command '/PlySearch'.
[00:11:37]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:39]	Feng Yi 'Eric' Hseuh has taken 5 damage from npc_headcrab_fast.
[00:11:40]	Feng Yi 'Eric' Hseuh has taken 12 damage from Areth  Martin.
[00:11:40]	Feng Yi 'Eric' Hseuh has taken 12 damage from Areth  Martin.
[00:11:41]	Feng Yi 'Eric' Hseuh has taken 12 damage from Areth  Martin.
[00:11:43]	Dispatch used command '/PlySearch'.
[00:11:54]	matt saton loaded the character 'OTA.S08-SENTINEL.85100'
[00:11:55]	OTA.S08-SENTINEL.85100 entered observer.
[00:11:57]	Jim Bostello ran 'EquipUn' on item 'Green Citizen Suit' (#14007)
[00:12:00]	OTA.S08-SENTINEL.85100 used command '/PlySearch'.
[00:12:00]	Jim Bostello ran 'Equip' on item 'Green Citizen Suit' (#14007)
[00:12:03]	OTA.S08-SENTINEL.85100 has gained a 'Dispatch' #14166.
[00:12:07]	OTA.S08-SENTINEL.85100 used command '/PlySearch'.
[00:12:09]	Drake Salvador has gained a 'Dispatch' #14166.
[00:12:13]	Jim Bostello ran 'Equip' on item '357' (#14025)
[00:12:14]	Jim Bostello ran 'Equip' on item 'MP7' (#14022)
[00:12:17]	1LT Samuel Brody ran 'Equip' on item 'MP7' (#10563)
[00:12:17]	[OOC] OTA.S08-SENTINEL.85100: look in your inv drake
[00:12:18]	Andrew 'Razor' Gonzalez used command '/Radio We got dispatch I repeat, we got dispatch'.
[00:12:23]	[LOOC] Drake Salvador: Oh bet
[00:12:26]	Andrew 'Razor' Gonzalez used command '/Radio Dispatch secured'.
[00:12:32]	[OOC] Jim Bostello: damn.
[00:12:32]	matt saton loaded the character 'Freluci'
[00:12:33]	Freluci has taken 1 damage from worldspawn.
[00:12:33]	Freluci has taken 1 damage from worldspawn.
[00:12:34]	Freluci has taken 1 damage from worldspawn.
[00:12:34]	Freluci entered observer.
[00:12:56]	[LOOC] Ethan King: Bro ;-;
[00:13:14]	[LOOC] Andrew 'Razor' Gonzalez: Also need ammo if you hear me Gabe
[00:13:20]	[ME] Drake Salvador: crawls through the window, a bullet wound leaking out of multiple areas on his body. "Fuck if I know... if it's so important, they'll come and get it from us."
[00:13:54]	Andrew 'Razor' Gonzalez used command '/Radio Officer, we got dispatch.'.
[00:14:04]	Moonpie created the character 'Gren Gardner'
[00:14:04]	Gren Gardner has gained a 'Suitcase' #14167.
[00:14:04]	Gren Gardner has gained a 'Relocation Coupon' #14168.
[00:14:04]	Gren Gardner has gained a 'Cyclopic Citizen Suit' #14169.
[00:14:04]	Gren Gardner has gained a 'Citizen Filter' #14170.
[00:14:04]	Moonpie loaded the character 'Gren Gardner'
[00:14:21]	Moonpie (STEAM_0:0:236863263) has disconnected.
[00:14:23]	[OOC] Freluci: hey what's up aren! sorry about the whole clusterfuck, we're finishing up an-
