[00:00:31]	[LOOC] Ryan Marnett: septembmer
[10:30:04]	Karl Von Habsburg exited observer at their location.
[10:30:06]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:06]	Karl Von Habsburg has taken 15 damage from npc_combine_s.
[10:30:06]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:06]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:07]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:07]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:07]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:07]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:07]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:09]	Karl Von Habsburg has taken 7 damage from npc_combine_s.
[10:30:11]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:11]	Karl Von Habsburg has taken 15 damage from npc_combine_s.
[10:30:11]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:11]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:13]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[10:30:13]	npc_combine_s has killed Karl Von Habsburg.
[10:30:22]	Karl Von Habsburg entered observer.
[10:30:24]	Karl Von Habsburg exited observer at their location.
[10:30:25]	Karl Von Habsburg entered observer.
[10:30:25]	Karl Von Habsburg exited observer at their location.
[10:30:26]	Karl Von Habsburg entered observer.
[10:31:14]	Karl Von Habsburg has spawned a 'NPC [519][npc_combine_s]'.
[10:31:15]	Karl Von Habsburg has spawned a 'NPC [3194][npc_combine_s]'.
[10:31:16]	Karl Von Habsburg has spawned a 'NPC [3197][npc_combine_s]'.
[10:31:18]	Karl Von Habsburg has spawned a 'NPC [3200][npc_combine_s]'.
[10:31:20]	Karl Von Habsburg has spawned a 'NPC [3202][npc_combine_s]'.
[10:31:26]	Karl Von Habsburg has spawned a 'NPC [3204][npc_combine_s]'.
[10:31:30]	Karl Von Habsburg has spawned a 'NPC [3207][npc_zombie]'.
[10:33:01]	Karl Von Habsburg has spawned a 'NPC [3207][npc_combine_s]'.
[10:33:05]	Karl Von Habsburg has spawned a 'NPC [3210][npc_combine_s]'.
[10:33:12]	Karl Von Habsburg has spawned a 'NPC [3212][npc_zombine]'.
[10:33:57]	Karl Von Habsburg exited observer at their location.
[10:33:59]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[10:33:59]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[10:34:01]	Karl Von Habsburg has taken 20 damage from npc_combine_s.
[10:34:02]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[10:34:03]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[10:34:04]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[10:34:05]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[10:34:15]	Karl Von Habsburg has taken 0 damage from npc_combine_s.
[10:34:15]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[10:35:27]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[10:35:28]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[10:35:38]	Karl Von Habsburg entered observer.
[10:37:41]	Karl Von Habsburg has spawned a 'NPC [519][npc_combine_s]'.
[10:37:46]	Karl Von Habsburg has spawned a 'NPC [3194][npc_zombie]'.
[10:38:08]	Karl Von Habsburg has spawned a 'NPC [3194][npc_combine_s]'.
[10:38:09]	Karl Von Habsburg has spawned a 'NPC [3197][npc_combine_s]'.
[10:38:09]	Karl Von Habsburg has spawned a 'NPC [3200][npc_combine_s]'.
[10:38:10]	Karl Von Habsburg has spawned a 'NPC [3203][npc_combine_s]'.
[10:38:11]	Karl Von Habsburg has spawned a 'NPC [3206][npc_combine_s]'.
[10:38:17]	Karl Von Habsburg has spawned a 'NPC [3206][npc_zombie]'.
[10:38:37]	Karl Von Habsburg has spawned a 'NPC [3206][npc_citizen]'.
[10:38:48]	Karl Von Habsburg has spawned a 'NPC [3206][npc_citizen]'.
[10:39:37]	Karl Von Habsburg exited observer at their location.
[10:40:14]	Karl Von Habsburg entered observer.
[10:40:20]	Karl Von Habsburg exited observer at their location.
[10:40:40]	Karl Von Habsburg has spawned a 'NPC [521][npc_zombie]'.
[10:40:49]	Karl Von Habsburg has spawned a 'NPC [521][npc_zombie]'.
[10:41:50]	Karl Von Habsburg has spawned a 'NPC [3194][npc_zombie]'.
[10:42:11]	Karl Von Habsburg has spawned a 'NPC [3194][npc_zombine]'.
[10:42:25]	Karl Von Habsburg has spawned a 'NPC [3194][npc_poisonzombie]'.
[10:43:32]	Karl Von Habsburg entered observer.
[10:43:57]	Karl Von Habsburg has spawned a 'NPC [3194][npc_zombine]'.
[10:44:07]	Karl Von Habsburg exited observer at their location.
[10:44:22]	Karl Von Habsburg entered observer.
[10:44:25]	Karl Von Habsburg has spawned a 'NPC [3194][npc_zombine]'.
[10:44:49]	Karl Von Habsburg has spawned a 'NPC [3194][npc_zombie]'.
[10:45:21]	Karl Von Habsburg has spawned a 'NPC [3194][npc_fastzombie]'.
[10:45:33]	Karl Von Habsburg exited observer at their location.
[10:45:35]	Karl Von Habsburg entered observer.
[10:45:36]	Karl Von Habsburg has spawned a 'NPC [3194][npc_antlion]'.
[10:46:28]	Karl Von Habsburg exited observer at their location.
[10:46:30]	Karl Von Habsburg has spawned a 'Entity [3194][gmod_sent_vehicle_fphysics_base]'.
[10:46:32]	Karl Von Habsburg has taken 200 damage from worldspawn.
[10:46:32]	worldspawn has killed Karl Von Habsburg.
[10:46:37]	Karl Von Habsburg entered observer.
[10:47:07]	Karl Von Habsburg has spawned a 'Entity [520][ix_station_airpressurizer]'.
[10:47:09]	Karl Von Habsburg has spawned a 'Entity [3194][ix_station_airpressurizer]'.
[10:47:10]	Karl Von Habsburg has spawned a 'Entity [3195][ix_station_airpressurizer]'.
[10:47:10]	Karl Von Habsburg has spawned a 'Entity [3196][ix_station_airpressurizer]'.
[10:47:12]	Karl Von Habsburg has spawned a 'Entity [3197][ix_station_diecaster]'.
[10:47:13]	Karl Von Habsburg has spawned a 'Entity [3198][ix_station_diecaster]'.
[10:47:15]	Karl Von Habsburg has spawned a 'Entity [3200][ix_station_diecaster]'.
[10:47:15]	Karl Von Habsburg has spawned a 'Entity [3201][ix_station_diecaster]'.
[10:47:15]	Karl Von Habsburg has spawned a 'Entity [3202][ix_station_diecaster]'.
[10:47:19]	Karl Von Habsburg has spawned a 'Entity [3203][ix_radiorepeater]'.
[10:47:19]	Karl Von Habsburg has spawned a 'Entity [3204][ix_radiorepeater]'.
[10:47:59]	Karl Von Habsburg has spawned a 'Entity [3206][ix_testent6]'.
[10:48:00]	Karl Von Habsburg has spawned a 'Entity [3207][ix_rationdispenser]'.
[10:48:03]	Karl Von Habsburg has spawned a 'Entity [3206][ix_station_forge]'.
[10:48:03]	Karl Von Habsburg has spawned a 'Entity [3207][ix_radiorepeater]'.
[10:48:04]	Karl Von Habsburg has spawned a 'Entity [3208][ix_vendor]'.
[10:48:14]	Karl Von Habsburg has spawned a 'Entity [3207][ix_station_diecaster]'.
[10:48:15]	Karl Von Habsburg has spawned a 'Entity [3208][ix_station_forge]'.
[10:48:16]	Karl Von Habsburg has spawned a 'Entity [3209][ix_radiorepeater]'.
[10:48:18]	Karl Von Habsburg has spawned a 'Entity [3210][ix_vendor]'.
[10:48:20]	Karl Von Habsburg used the 'John Doe' vendor.
[10:48:36]	Karl Von Habsburg has spawned a 'Entity [3209][ix_station_diecaster]'.
[10:48:36]	Karl Von Habsburg has spawned a 'Entity [3210][ix_station_diecaster]'.
[10:48:37]	Karl Von Habsburg has spawned a 'Entity [3211][ix_station_workbench]'.
[10:48:45]	Karl Von Habsburg has spawned a 'Entity [520][ix_station_diecaster]'.
[10:48:54]	Karl Von Habsburg has spawned a 'Entity [520][ix_vendor]'.
[10:49:01]	Karl Von Habsburg has spawned a 'NPC [520][npc_zombie]'.
[10:49:03]	Karl Von Habsburg has spawned a 'NPC [3195][npc_zombine]'.
[10:49:09]	Karl Von Habsburg exited observer at their location.
[10:49:36]	Karl Von Habsburg has spawned a 'NPC [3197][npc_zombine]'.
[10:49:42]	Karl Von Habsburg has spawned a 'NPC [3197][npc_poisonzombie]'.
[10:50:15]	Karl Von Habsburg entered observer.
[10:51:36]	Karl Von Habsburg exited observer at their location.
[10:51:45]	Karl Von Habsburg entered observer.
[10:52:02]	Karl Von Habsburg exited observer at their location.
[10:52:04]	Karl Von Habsburg has taken 200 damage from Karl Von Habsburg.
[10:52:04]	Karl Von Habsburg has killed Karl Von Habsburg.
[10:52:08]	Karl Von Habsburg entered observer.
[10:52:37]	Karl Von Habsburg has spawned a 'Weapon [520][weapon_slam]'.
[10:52:37]	Karl Von Habsburg has spawned a 'Weapon [521][weapon_slam]'.
[10:52:38]	Karl Von Habsburg has spawned a 'Weapon [3194][weapon_slam]'.
[10:52:38]	Karl Von Habsburg has spawned a 'Weapon [3200][weapon_slam]'.
[10:52:38]	Karl Von Habsburg has spawned a 'Weapon [3201][weapon_slam]'.
[10:52:38]	Karl Von Habsburg has spawned a 'Weapon [3202][weapon_slam]'.
[10:52:38]	Karl Von Habsburg exited observer at their location.
[10:52:42]	Karl Von Habsburg has spawned a 'Weapon [521][weapon_slam]'.
[10:52:42]	Karl Von Habsburg has spawned a 'Weapon [3199][weapon_slam]'.
[10:52:42]	Karl Von Habsburg has spawned a 'Weapon [3200][weapon_slam]'.
[10:52:42]	Karl Von Habsburg has spawned a 'Weapon [3201][weapon_slam]'.
[10:52:42]	Karl Von Habsburg has spawned a 'Weapon [520][weapon_slam]'.
[10:52:43]	Karl Von Habsburg has spawned a 'Weapon [3194][weapon_slam]'.
[10:52:43]	Karl Von Habsburg has spawned a 'Weapon [3202][weapon_slam]'.
[10:52:43]	Karl Von Habsburg has spawned a 'Weapon [3204][weapon_slam]'.
[10:54:09]	FB|| light ROOM has connected.
[10:55:20]	Karl Von Habsburg ran 'View' on item 'Notepad' (#18954)
[10:55:32]	Karl Von Habsburg opened the '' #1810 container.
[10:55:34]	Karl Von Habsburg closed the '' #1810 container.
[10:55:51]	Karl Von Habsburg entered observer.
[10:56:01]	Karl Von Habsburg exited observer at their location.
[10:56:02]	Karl Von Habsburg entered observer.
[10:56:03]	Karl Von Habsburg exited observer at their location.
[10:56:05]	Karl Von Habsburg entered observer.
[10:56:06]	Karl Von Habsburg exited observer at their location.
[10:56:09]	Karl Von Habsburg entered observer.
[10:56:12]	Karl Von Habsburg exited observer at their location.
[10:56:43]	FB|| light ROOM loaded the character 'CCA.C14-ECHO.OSS.39412'
[10:56:49]	Karl Von Habsburg has spawned a 'NPC [521][npc_zombie]'.
[10:56:54]	[OOC] CCA.C14-ECHO.OSS.39412: Gamer
[10:56:57]	Karl Von Habsburg has spawned a 'NPC [521][npc_poisonzombie]'.
[10:57:02]	[OOC] CCA.C14-ECHO.OSS.39412: Bruh
[10:57:14]	Karl Von Habsburg has spawned a 'NPC [521][npc_fastzombie]'.
[10:57:18]	Karl Von Habsburg entered observer.
[10:57:19]	Karl Von Habsburg exited observer at their location.
[10:57:20]	Karl Von Habsburg entered observer.
[10:57:21]	Karl Von Habsburg exited observer at their location.
[10:57:23]	CCA.C14-ECHO.OSS.39412 has taken 505 damage from Karl Von Habsburg.
[10:57:23]	Karl Von Habsburg has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_pipeshotgun.
[10:57:25]	[OOC] CCA.C14-ECHO.OSS.39412: BRUH
[10:57:27]	[OOC] CCA.C14-ECHO.OSS.39412: WHAT
[10:57:31]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'AR2' (#26710)
[10:57:32]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'USP Match' (#18272)
[10:57:40]	[OOC] CCA.C14-ECHO.OSS.39412: FUCKING BRING DOWN THE NERF HAMMER
[10:57:41]	Karl Von Habsburg entered observer.
[10:57:48]	Karl Von Habsburg exited observer at their location.
[10:57:55]	[CGN] Painevan loaded the character 'OTA.C08-HAMMER.OWS.00519'
[10:58:03]	OTA.C08-HAMMER.OWS.00519 has taken 1 damage from OTA.C08-HAMMER.OWS.00519.
[10:58:12]	OTA.C08-HAMMER.OWS.00519 has gained a 'Standard Grade Ration' #27310.
[10:58:12]	OTA.C08-HAMMER.OWS.00519 used command '/CharGiveItem hammer ration 1'.
[10:58:14]	OTA.C08-HAMMER.OWS.00519 ran 'Open' on item 'Standard Grade Ration' (#27310)
[10:58:14]	OTA.C08-HAMMER.OWS.00519 has gained a 'Standard Grade Citizen Food Product' #27311.
[10:58:14]	OTA.C08-HAMMER.OWS.00519 has gained a 'Standard Grade Citizen Supplements' #27312.
[10:58:14]	OTA.C08-HAMMER.OWS.00519 has gained a 'Breen's Water' #27313.
[10:58:14]	OTA.C08-HAMMER.OWS.00519 has gained 20 tokens.
[10:58:15]	OTA.C08-HAMMER.OWS.00519 ran 'Consume' on item 'Standard Grade Citizen Supplements' (#27312)
[10:58:16]	OTA.C08-HAMMER.OWS.00519 ran 'Eat' on item 'Standard Grade Citizen Food Product' (#27311)
[10:58:17]	OTA.C08-HAMMER.OWS.00519 ran 'Consume' on item 'Breen's Water' (#27313)
[10:58:26]	OTA.C08-HAMMER.OWS.00519 has spawned a 'Weapon [519][tfa_rustalpha_pipeshotgun]'.
[10:58:31]	OTA.C08-HAMMER.OWS.00519 has taken 149 damage from CCA.C14-ECHO.OSS.39412.
[10:58:45]	OTA.C08-HAMMER.OWS.00519 entered observer.
[10:58:45]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[10:59:50]	OTA.C08-HAMMER.OWS.00519 has taken 143 damage from CCA.C14-ECHO.OSS.39412.
[11:00:08]	CCA.C14-ECHO.OSS.39412 has taken 517 damage from OTA.C08-HAMMER.OWS.00519.
[11:00:08]	OTA.C08-HAMMER.OWS.00519 has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_pipeshotgun.
[11:00:17]	[OOC] CCA.C14-ECHO.OSS.39412: It's so instant ;-;
[11:00:17]	OTA.C08-HAMMER.OWS.00519 entered observer.
[11:00:19]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'AR2' (#26710)
[11:00:20]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'USP Match' (#18272)
[11:00:22]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[11:00:23]	OTA.C08-HAMMER.OWS.00519 entered observer.
[11:00:23]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[11:00:33]	[OOC] CCA.C14-ECHO.OSS.39412: Or the hitbox is wonky because of how fucking big you are.
[11:00:47]	CCA.C14-ECHO.OSS.39412 has taken 145 damage from OTA.C08-HAMMER.OWS.00519.
[11:00:53]	OTA.C08-HAMMER.OWS.00519 entered observer.
[11:00:56]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[11:00:58]	CCA.C14-ECHO.OSS.39412 has taken 147 damage from OTA.C08-HAMMER.OWS.00519.
[11:00:58]	CCA.C14-ECHO.OSS.39412 has taken 73 damage from OTA.C08-HAMMER.OWS.00519.
[11:00:58]	OTA.C08-HAMMER.OWS.00519 has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_pipeshotgun.
[11:01:09]	CCA.C14-ECHO.OSS.39412 has taken 51 damage from OTA.C08-HAMMER.OWS.00519.
[11:01:17]	CCA.C14-ECHO.OSS.39412 has taken 296 damage from OTA.C08-HAMMER.OWS.00519.
[11:01:17]	OTA.C08-HAMMER.OWS.00519 has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_pipeshotgun.
[11:01:31]	[OOC] CCA.C14-ECHO.OSS.39412: I love how, realisticly me getting shot with a 9mm would do nothing because my armor would immediately absorb the impact of it.
[11:01:44]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'AR2' (#26710)
[11:01:44]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'USP Match' (#18272)
[11:01:45]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'Fragmentation Grenade' (#18363)
[11:01:46]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'Fragmentation Grenade' (#26711)
[11:01:56]	CCA.C14-ECHO.OSS.39412 ran 'EquipUn' on item 'Fragmentation Grenade' (#18363)
[11:01:56]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'Fragmentation Grenade' (#18363)
[11:02:14]	CCA.C14-ECHO.OSS.39412 ran 'EquipUn' on item 'Fragmentation Grenade' (#18363)
[11:02:15]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'Fragmentation Grenade' (#18363)
[11:02:20]	CCA.C14-ECHO.OSS.39412 has taken 339 damage from OTA.C08-HAMMER.OWS.00519.
[11:02:20]	OTA.C08-HAMMER.OWS.00519 has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_shotgun.
[11:02:54]	[OOC] CCA.C14-ECHO.OSS.39412: I can equip the grenade but it doesn't appear in my weapon wheel or whatever you want to call it.
[11:03:01]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'AR2' (#26710)
[11:03:05]	CCA.C14-ECHO.OSS.39412 has taken 111 damage from OTA.C08-HAMMER.OWS.00519.
[11:03:05]	CCA.C14-ECHO.OSS.39412 has taken 63 damage from OTA.C08-HAMMER.OWS.00519.
[11:03:06]	OTA.C08-HAMMER.OWS.00519 entered observer.
[11:03:08]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[11:03:10]	CCA.C14-ECHO.OSS.39412 has taken 67 damage from OTA.C08-HAMMER.OWS.00519.
[11:03:11]	OTA.C08-HAMMER.OWS.00519 entered observer.
[11:03:12]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[11:03:13]	CCA.C14-ECHO.OSS.39412 has taken 123 damage from OTA.C08-HAMMER.OWS.00519.
[11:03:13]	OTA.C08-HAMMER.OWS.00519 has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_shotgun.
[11:03:21]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'USP Match' (#18272)
[11:03:21]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'AR2' (#26710)
[11:03:47]	CCA.C14-ECHO.OSS.39412 has taken 559 damage from OTA.C08-HAMMER.OWS.00519.
[11:03:47]	OTA.C08-HAMMER.OWS.00519 has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_handcannon.
[11:03:50]	[OOC] CCA.C14-ECHO.OSS.39412: Ow
[11:03:53]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'USP Match' (#18272)
[11:03:53]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'AR2' (#26710)
[11:04:22]	[OOC] CCA.C14-ECHO.OSS.39412: Love how it did similar damage to the MACE fucking that rebel yesterday.
[11:04:28]	[OOC] CCA.C14-ECHO.OSS.39412: Via shotgun
[11:04:53]	CCA.C14-ECHO.OSS.39412 has taken 133 damage from OTA.C08-HAMMER.OWS.00519.
[11:04:55]	OTA.C08-HAMMER.OWS.00519 entered observer.
[11:04:57]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[11:05:00]	CCA.C14-ECHO.OSS.39412 has taken 151 damage from OTA.C08-HAMMER.OWS.00519.
[11:05:04]	OTA.C08-HAMMER.OWS.00519 entered observer.
[11:05:05]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[11:05:07]	CCA.C14-ECHO.OSS.39412 has taken 163 damage from OTA.C08-HAMMER.OWS.00519.
[11:05:07]	OTA.C08-HAMMER.OWS.00519 has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_handcannon.
[11:05:19]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'AR2' (#26710)
[11:05:22]	CCA.C14-ECHO.OSS.39412 has taken 264 damage from OTA.C08-HAMMER.OWS.00519.
[11:05:22]	CCA.C14-ECHO.OSS.39412 has taken 31 damage from OTA.C08-HAMMER.OWS.00519.
[11:05:30]	CCA.C14-ECHO.OSS.39412 has taken 282 damage from OTA.C08-HAMMER.OWS.00519.
[11:05:30]	OTA.C08-HAMMER.OWS.00519 has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_handcannon.
[11:05:40]	[OOC] CCA.C14-ECHO.OSS.39412: I went through the door lmao.
[11:05:45]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'AR2' (#26710)
[11:05:53]	CCA.C14-ECHO.OSS.39412 has taken 13 damage from OTA.C08-HAMMER.OWS.00519.
[11:06:02]	CCA.C14-ECHO.OSS.39412 has taken 29 damage from OTA.C08-HAMMER.OWS.00519.
[11:06:16]	CCA.C14-ECHO.OSS.39412 has taken 4 damage from OTA.C08-HAMMER.OWS.00519.
[11:06:16]	CCA.C14-ECHO.OSS.39412 has taken 27 damage from OTA.C08-HAMMER.OWS.00519.
[11:06:50]	CCA.C14-ECHO.OSS.39412 has taken 161 damage from OTA.C08-HAMMER.OWS.00519.
[11:06:56]	CCA.C14-ECHO.OSS.39412 has taken 160 damage from OTA.C08-HAMMER.OWS.00519.
[11:06:56]	OTA.C08-HAMMER.OWS.00519 has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_revolver.
[11:07:19]	CCA.C14-ECHO.OSS.39412 has taken 24 damage from OTA.C08-HAMMER.OWS.00519.
[11:07:22]	CCA.C14-ECHO.OSS.39412 has taken 3 damage from OTA.C08-HAMMER.OWS.00519.
[11:07:23]	[LOOC] CCA.C14-ECHO.OSS.39412: Forgot to delete me temp KING, i'll do that later.
