[00:01:18]	[OOC] CCA.C17-GRID.i3.08313: I 
[00:40:55]	Seung Shi-eun used the 'Storage' vendor.
[00:40:56]	[LOOC] Anastasia Ivanovich: WHY DOES GRIST HAVE SNITCHES CABAL MOMENT
[00:40:58]	[OOC] CCA.C17-GRID.i3.08313: that person is meisen
[00:41:08]	[OOC] CCA.C17-GRID.i3.08313: it's a general store though
[00:41:16]	[OOC] Seung Shi-eun: yeah but it sells everything I do
[00:41:19]	[OOC] CCA.C17-GRID.i3.08313: best be getting on a lot to man your store and compete :Troll:
[00:41:34]	[OOC] Seung Shi-eun: Well I wasn't getting on because Ember was one bad day from hurting herself bad.
[00:41:37]	[OOC] Seung Shi-eun: for the last
[00:41:39]	[OOC] Seung Shi-eun: three weeks.
[00:41:40]	[OOC] CCA.C17-GRID.i3.08313: jeez
[00:41:41]	[OOC] CCA.C17-GRID.i3.08313: i'm sorry
[00:41:48]	[OOC] CCA.C17-GRID.i3.08313: i was just joknig, iwasn't tryinmg to guilt trip you
[00:41:53]	[OOC] Seung Shi-eun: She gets seasonal depression.
[00:42:03]	[OOC] Seung Shi-eun: And around that time was when her mom got covid.
[00:42:19]	[OOC] Seung Shi-eun: so yeah wasnt playing.
[00:42:27]	Seung Shi-eun has gained a 'Radio Case' #27787.
[00:42:34]	[OOC] CCA.C17-GRID.i3.08313: i'm sorry, i was jokig, i asn't genuinely trying to guilt trip you
[00:42:38]	[OOC] CCA.C17-GRID.i3.08313: i didn't know
[00:42:39]	[OOC] Seung Shi-eun: oh its ok
[00:43:38]	[ME] Anastasia Ivanovich: nodded.
[00:44:52]	[LOOC] Anastasia Ivanovich: I'm probably going to need a co-owner because Imma be real I'll be inactive af
[00:44:56]	[LOOC] CCA.C17-GRID.i3.08313: my RP isn't very good
[00:44:57]	[LOOC] CCA.C17-GRID.i3.08313: becuase
[00:44:58]	[OOC] Seung Shi-eun: okay im back
[00:44:59]	[LOOC] Anastasia Ivanovich: due to irl and the fact I don't like shopRP
[00:45:00]	[LOOC] CCA.C17-GRID.i3.08313: i'm ery treid
[00:45:07]	[LOOC] CCA.C17-GRID.i3.08313: THEN Why areyou owning a shop
[00:45:17]	[LOOC] Anastasia Ivanovich: I was originally going to own it with Ashley
[00:45:21]	[OOC] Seung Shi-eun: ember got out of the shower and I was doting on them
[00:45:22]	[LOOC] Anastasia Ivanovich: but she just straight up join CCA
[00:45:23]	[LOOC] CCA.C17-GRID.i3.08313: she gone
[00:45:26]	[LOOC] Anastasia Ivanovich: so that killed that arc
[00:45:32]	[LOOC] Anastasia Ivanovich: but its all good.
[00:45:37]	[OOC] CCA.C17-GRID.i3.08313: lynx
[00:45:42]	[OOC] CCA.C17-GRID.i3.08313: you're on the serer server
[00:45:45]	[OOC] CCA.C17-GRID.i3.08313: i'm happy for you
[00:45:46]	[OOC] CCA.C17-GRID.i3.08313: but
[00:45:48]	[OOC] CCA.C17-GRID.i3.08313: yknow
[00:46:05]	[OOC] CCA.C17-GRID.i3.08313: keep it pg17
[00:46:05]	[OOC] Seung Shi-eun: ?
[00:46:10]	[OOC] Seung Shi-eun: Doting isnt
[00:46:15]	[OOC] CCA.C17-GRID.i3.08313: did i misunderstand hat you were saying
[00:46:16]	[OOC] Seung Shi-eun: DOTING WAS SAYING I WAS 
[00:46:18]	[OOC] CCA.C17-GRID.i3.08313: i very much misunderstood
[00:46:22]	[OOC] Seung Shi-eun: BRUHV
[00:46:32]	[OOC] CCA.C17-GRID.i3.08313: HEY I KNOW YOU RELALY WELL YOU CAN'T BLAME ME TOO MCUHB
[00:46:32]	[OOC] Seung Shi-eun: I KNOW NOT TO TELL FOLKS HERE WHEN I BANG MY WIFE
[00:46:39]	[OOC] Anastasia Ivanovich: I don't give a fuck
[00:46:42]	[OOC] Anastasia Ivanovich: I'm like 20
[00:46:47]	[OOC] CCA.C17-GRID.i3.08313: yoooosame
[00:46:53]	[OOC] CCA.C17-GRID.i3.08313: i just turned 20 on the 20th
[00:47:01]	[OOC] Anastasia Ivanovich: wtf I'm older than Q
[00:47:03]	[OOC] Seung Shi-eun: doting 
[00:47:10]	[OOC] Seung Shi-eun: "extremely and uncritically fond of someone; adoring."
[00:47:12]	[OOC] CCA.C17-GRID.i3.08313: dude i'm liek a baby
[00:47:19]	[OOC] CCA.C17-GRID.i3.08313: as far as age goes
[00:47:22]	[OOC] Seung Shi-eun: Since Rosie left im the oldest again.
[00:47:25]	[OOC] Anastasia Ivanovich: wtf am I older than some HL2RP owners wtf
[00:47:40]	[OOC] CCA.C17-GRID.i3.08313: you're older than a lot of them
[00:47:49]	[OOC] Seung Shi-eun: I am. Only 22.
[00:47:55]	[OOC] CCA.C17-GRID.i3.08313: i wanna be 21
[00:47:56]	[OOC] Seung Shi-eun: and the oldest on this fucking server.
[00:47:56]	[OOC] Anastasia Ivanovich: what 7 years of hl2rp does to a mf.
[00:48:03]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[00:48:21]	CCA.C17-GRID.i3.08313 entered observer.
[00:48:44]	[OOC] Seung Shi-eun: What does the Combine synthetic faction cover again?
[00:49:05]	[OOC] Anastasia Ivanovich: if it vvasn't for my crippling addiction and inability to keep a proper schedule. I'd probably publish my book series and quit this gamemode... :sunglasses:
[00:49:34]	[OOC] Seung Shi-eun: I have roleplayed for as long as some of the members of this community have lived.
[00:49:46]	[OOC] Seung Shi-eun: 13 years.
[00:49:57]	[OOC] Anastasia Ivanovich: I would quit by ten I think imma quite after ten
[00:50:06]	[OOC] Seung Shi-eun: its a fun hobby.
[00:50:16]	LynxQueen loaded the character 'CCA.C17-HELIX.i3.67098'
[00:50:19]	[OOC] CCA.C17-HELIX.i3.67098: i3 gaming
[00:50:32]	[OOC] Anastasia Ivanovich: seven years and I started hating this gamemode at four. What tolerating bad servers does to a mf.
[00:50:34]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[00:50:42]	[OOC] CCA.C17-HELIX.i3.67098: I think Matt DCed
[00:50:56]	[OOC] CCA.C17-HELIX.i3.67098: oh hes going to bed.
[00:51:05]	[OOC] Anastasia Ivanovich: I'm prob gonna get off too
[00:51:16]	[OOC] Anastasia Ivanovich: I was gonna get off anyway. Sorry for not rping with ya.
[00:51:17]	[OOC] CCA.C17-HELIX.i3.67098: well, goodnight
[00:51:24]	[OOC] Anastasia Ivanovich: balls
[00:51:26]	Spooky Wolf (STEAM_0:1:58209231) has disconnected.
[00:54:35]	Bean has connected.
[00:55:01]	Bean loaded the character 'Alex Palovichov'
[00:55:05]	Alex Palovichov opened the '' #2415 container.
[00:55:07]	Alex Palovichov ran 'View' on item 'Notepad' (#24922)
[00:55:10]	Alex Palovichov ran 'View' on item 'Notepad' (#27021)
[00:55:15]	Alex Palovichov closed the '' #2415 container.
[00:55:15]	CCA.C17-HELIX.i3.67098 has gained 10 tokens.
[00:55:17]	Alex Palovichov ran 'drop' on item 'Notepad' (#25187)
[00:55:17]	Alex Palovichov has lost a 'Notepad' #25187.
[00:55:18]	Alex Palovichov ran 'drop' on item 'Notepad' (#25184)
[00:55:18]	Alex Palovichov has lost a 'Notepad' #25184.
[00:55:20]	Alex Palovichov opened the '' #2415 container.
[00:55:24]	Alex Palovichov has gained a 'Notepad' #27590.
[00:55:24]	Alex Palovichov closed the '' #2415 container.
[00:55:30]	Alex Palovichov ran 'Edit' on item 'Notepad' (#27590)
[00:57:16]	CCA.C17-HELIX.i3.67098 has taken 139 damage from worldspawn.
[00:57:16]	worldspawn has killed CCA.C17-HELIX.i3.67098.
[01:00:07]	Alex Palovichov ran 'View' on item 'Notepad' (#27590)
[01:00:16]	CCA.C17-HELIX.i3.67098 has gained 10 tokens.
[01:00:20]	Alex Palovichov ran 'Edit' on item 'Notepad' (#27590)
[01:00:23]	Alex Palovichov opened the '' #2415 container.
[01:00:28]	Alex Palovichov has gained a 'Notepad' #27589.
[01:00:28]	Alex Palovichov has gained a 'Notepad' #27021.
[01:00:29]	Alex Palovichov has gained a 'Notepad' #27593.
[01:00:30]	Alex Palovichov ran 'combine' on item 'Documents Case' (#24746)
[01:00:30]	Alex Palovichov has gained a 'Notepad' #27594.
[01:00:36]	Alex Palovichov closed the '' #2415 container.
[01:00:38]	Alex Palovichov ran 'Edit' on item 'Notepad' (#27593)
[01:00:43]	Alex Palovichov ran 'Edit' on item 'Notepad' (#27594)
[01:00:43]	Alex Palovichov ran 'Edit' on item 'Notepad' (#27594)
[01:00:52]	Alex Palovichov ran 'Edit' on item 'Notepad' (#27589)
[01:01:00]	Alex Palovichov ran 'View' on item 'Notepad' (#27021)
[01:01:03]	Alex Palovichov ran 'Edit' on item 'Notepad' (#27021)
[01:01:10]	Alex Palovichov opened the '' #2415 container.
[01:01:17]	Alex Palovichov closed the '' #2415 container.
[01:01:53]	LynxQueen (STEAM_0:1:70540942) has disconnected.
[01:02:12]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[01:03:24]	Alex Palovichov has gained a 'Cinderblock' #27788.
[01:03:27]	Alex Palovichov ran 'drop' on item 'Cinderblock' (#27788)
[01:03:27]	Alex Palovichov has lost a 'Cinderblock' #27788.
[01:03:29]	Alex Palovichov destroyed a 'Cinderblock' #27788.
[01:03:34]	Alex Palovichov has gained a 'Paper' #27788.
[01:03:36]	Alex Palovichov ran 'drop' on item 'Paper' (#27788)
[01:03:36]	Alex Palovichov has lost a 'Paper' #27788.
[01:03:38]	Alex Palovichov destroyed a 'Paper' #27788.
[01:03:58]	Alex Palovichov has gained a 'Rock' #27788.
[01:03:59]	Alex Palovichov ran 'drop' on item 'Rock' (#27788)
[01:03:59]	Alex Palovichov has lost a 'Rock' #27788.
[01:04:03]	Alex Palovichov destroyed a 'Rock' #27788.
[01:04:23]	Alex Palovichov destroyed a 'Blue Pre-War Shirt' #27495.
[01:04:32]	Alex Palovichov destroyed a 'Old Newspaper' #27404.
[01:04:33]	Alex Palovichov has gained a 'Spark Plug' #27788.
[01:04:35]	Alex Palovichov ran 'drop' on item 'Spark Plug' (#27788)
[01:04:35]	Alex Palovichov has lost a 'Spark Plug' #27788.
[01:04:39]	Alex Palovichov destroyed a 'Spark Plug' #27788.
[01:04:46]	Alex Palovichov has gained a 'Rope' #27788.
[01:04:51]	Alex Palovichov destroyed a 'Bar of Soap' #27260.
[01:04:56]	Alex Palovichov ran 'drop' on item 'Rope' (#27788)
[01:04:56]	Alex Palovichov has lost a 'Rope' #27788.
[01:04:58]	Alex Palovichov destroyed a 'Piece of Plexiglass' #27730.
[01:04:59]	Alex Palovichov destroyed a 'Rope' #27788.
[01:05:13]	Alex Palovichov has gained a 'Empty Tin Can' #27788.
[01:05:15]	Alex Palovichov destroyed a 'Spark Plug' #27403.
[01:05:16]	Alex Palovichov ran 'drop' on item 'Empty Tin Can' (#27788)
[01:05:16]	Alex Palovichov has lost a 'Empty Tin Can' #27788.
[01:05:19]	Alex Palovichov destroyed a 'Empty Tin Can' #27788.
[01:05:39]	Alex Palovichov has gained a 'AA Battery' #27788.
[01:05:40]	Alex Palovichov ran 'drop' on item 'AA Battery' (#27788)
[01:05:40]	Alex Palovichov has lost a 'AA Battery' #27788.
[01:05:43]	Alex Palovichov destroyed a 'AA Battery' #27788.
[01:05:48]	Alex Palovichov destroyed a 'Graphics Card' #27733.
[01:05:49]	Alex Palovichov destroyed a 'Fingerless Gloves' #27341.
[01:05:52]	Alex Palovichov destroyed a 'Fingerless Gloves' #24878.
[01:05:58]	Alex Palovichov destroyed a 'Bar of Soap' #27643.
[01:06:03]	Alex Palovichov has gained a 'Resin' #27788.
[01:06:05]	Alex Palovichov ran 'take' on item 'Broken Computer Monitor' (#27732)
[01:06:05]	Alex Palovichov has gained a 'Broken Computer Monitor' #27732.
[01:06:17]	Alex Palovichov has gained a 'Broken LCD Monitor' #27789.
[01:06:21]	Alex Palovichov ran 'drop' on item 'Broken LCD Monitor' (#27789)
[01:06:21]	Alex Palovichov has lost a 'Broken LCD Monitor' #27789.
[01:06:23]	Alex Palovichov destroyed a 'Broken LCD Monitor' #27789.
[01:06:24]	Alex Palovichov ran 'drop' on item 'Broken Computer Monitor' (#27732)
[01:06:24]	Alex Palovichov has lost a 'Broken Computer Monitor' #27732.
[01:06:27]	Alex Palovichov destroyed a 'Broken Computer Monitor' #27732.
[01:06:33]	Alex Palovichov has gained a 'Bolts' #27789.
[01:06:48]	Alex Palovichov has gained a 'Broken Clock' #27790.
[01:06:49]	Alex Palovichov ran 'drop' on item 'Broken Clock' (#27790)
[01:06:49]	Alex Palovichov has lost a 'Broken Clock' #27790.
[01:06:53]	Alex Palovichov destroyed a 'Broken Clock' #27790.
[01:07:04]	Alex Palovichov has gained a 'Insulating Tape' #27790.
[01:07:27]	Alex Palovichov has gained a 'Empty Sparkling Consulate Water Can' #27791.
[01:07:29]	Alex Palovichov ran 'drop' on item 'Empty Sparkling Consulate Water Can' (#27791)
[01:07:29]	Alex Palovichov has lost a 'Empty Sparkling Consulate Water Can' #27791.
[01:07:32]	Alex Palovichov destroyed a 'Empty Sparkling Consulate Water Can' #27791.
[01:07:41]	Alex Palovichov has gained a 'Circuit Board' #27791.
[01:07:53]	Alex Palovichov has gained a 'Graphics Card' #27792.
[01:07:55]	Alex Palovichov ran 'drop' on item 'Graphics Card' (#27792)
[01:07:55]	Alex Palovichov has lost a 'Graphics Card' #27792.
[01:07:58]	Alex Palovichov destroyed a 'Graphics Card' #27792.
[01:08:15]	Alex Palovichov destroyed a 'Powercord' #27642.
[01:08:27]	Alex Palovichov ran 'take' on item 'Box of Matches' (#26855)
[01:08:27]	Alex Palovichov has gained a 'Box of Matches' #26855.
[01:08:37]	Alex Palovichov has gained a 'Paper' #27792.
[01:08:39]	Alex Palovichov ran 'drop' on item 'Paper' (#27792)
[01:08:39]	Alex Palovichov has lost a 'Paper' #27792.
[01:08:41]	Alex Palovichov destroyed a 'Paper' #27792.
[01:08:50]	Alex Palovichov has gained a 'Broken Clock' #27792.
[01:08:51]	Alex Palovichov ran 'drop' on item 'Broken Clock' (#27792)
[01:08:51]	Alex Palovichov has lost a 'Broken Clock' #27792.
[01:08:55]	Alex Palovichov destroyed a 'Broken Clock' #27792.
[01:09:04]	Alex Palovichov has gained a 'Empty Bleach Bottle' #27792.
[01:09:06]	Alex Palovichov ran 'drop' on item 'Empty Bleach Bottle' (#27792)
[01:09:06]	Alex Palovichov has lost a 'Empty Bleach Bottle' #27792.
[01:09:09]	Alex Palovichov destroyed a 'Empty Bleach Bottle' #27792.
[01:09:30]	Alex Palovichov has gained a 'Consul Poster' #27792.
[01:09:33]	Alex Palovichov ran 'place' on item 'Consul Poster' (#27792)
[01:09:40]	Alex Palovichov has gained a 'Electric Motor' #27792.
[01:10:41]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[01:11:43]	Alex Palovichov ran 'drop' on item 'Insulating Tape' (#27790)
[01:11:43]	Alex Palovichov has lost a 'Insulating Tape' #27790.
[01:11:52]	Alex Palovichov ran 'drop' on item 'Circuit Board' (#27791)
[01:11:52]	Alex Palovichov has lost a 'Circuit Board' #27791.
[01:12:10]	Alex Palovichov ran 'drop' on item 'Bolts' (#27789)
[01:12:10]	Alex Palovichov has lost a 'Bolts' #27789.
[01:12:19]	Alex Palovichov ran 'drop' on item 'Box of Matches' (#26855)
[01:12:19]	Alex Palovichov has lost a 'Box of Matches' #26855.
[01:12:26]	Alex Palovichov ran 'drop' on item 'Electric Motor' (#27792)
[01:12:26]	Alex Palovichov has lost a 'Electric Motor' #27792.
[01:13:10]	Bean (STEAM_0:1:591779303) has disconnected.
[02:04:51]	Кацуки has connected.
[04:04:20]	Himari Watanabe has gained a 'Green Citizen Suit' #27793.
[04:04:20]	Himari Watanabe has gained a 'Citizen Filter' #27794.
[04:04:20]	Кацуки created the character 'Himari Watanabe'
[04:04:20]	Himari Watanabe has gained a 'Suitcase' #27795.
[04:04:20]	Himari Watanabe has gained a 'Relocation Coupon' #27796.
[04:04:20]	Кацуки loaded the character 'Himari Watanabe'
[04:04:28]	Himari Watanabe ran 'Equip' on item 'Green Citizen Suit' (#27793)
[04:04:29]	Himari Watanabe ran 'EquipUn' on item 'Green Citizen Suit' (#27793)
[04:04:32]	Himari Watanabe ran 'Equip' on item 'Green Citizen Suit' (#27793)
[04:04:35]	Himari Watanabe ran 'equip' on item 'Citizen Filter' (#27794)
[04:04:44]	Himari Watanabe ran 'EquipUn' on item 'Green Citizen Suit' (#27793)
[04:05:10]	Himari Watanabe has taken 1 damage from worldspawn.
[04:05:11]	Himari Watanabe has taken 1 damage from worldspawn.
[04:05:12]	Himari Watanabe has taken 1 damage from worldspawn.
[04:05:12]	Himari Watanabe has taken 1 damage from worldspawn.
[04:05:56]	Himari Watanabe used command '/Gasmask'.
[04:05:58]	Himari Watanabe has taken 1 damage from worldspawn.
[04:05:59]	Himari Watanabe has taken 1 damage from worldspawn.
[04:06:04]	Himari Watanabe ran 'Equip' on item 'Green Citizen Suit' (#27793)
[04:07:14]	Himari Watanabe ran 'EquipUn' on item 'Green Citizen Suit' (#27793)
[04:07:24]	Himari Watanabe has taken 1 damage from worldspawn.
[04:07:25]	Himari Watanabe has taken 1 damage from worldspawn.
[04:07:26]	Himari Watanabe has taken 1 damage from worldspawn.
[04:07:27]	Himari Watanabe has taken 1 damage from worldspawn.
[04:07:34]	Himari Watanabe ran 'Equip' on item 'Green Citizen Suit' (#27793)
[04:08:02]	Himari Watanabe used command '/BecomeClass'.
[04:08:29]	Кацуки (STEAM_0:1:148232866) has disconnected.
[06:36:14]	_--Ashley--_ has connected.
[06:37:01]	_--Ashley--_ loaded the character 'CCA.C17-UNION.i5.06748'
[06:42:01]	CCA.C17-UNION.i5.06748 has gained 10 tokens.
[06:45:06]	CCA.C17-UNION.i5.06748 opened the '' #203 container.
[06:45:09]	CCA.C17-UNION.i5.06748 closed the '' #203 container.
[06:45:11]	CCA.C17-UNION.i5.06748 opened the '' #2499 container.
[06:45:13]	CCA.C17-UNION.i5.06748 closed the '' #2499 container.
[06:47:01]	CCA.C17-UNION.i5.06748 has gained 10 tokens.
[06:52:01]	CCA.C17-UNION.i5.06748 has gained 10 tokens.
[06:54:25]	CCA.C17-UNION.i5.06748 used the 'Shopkeeper' vendor.
[06:54:30]	CCA.C17-UNION.i5.06748 has lost 4 tokens.
[06:54:30]	CCA.C17-UNION.i5.06748 has gained a 'UU Brand Corn' #27797.
[06:54:31]	CCA.C17-UNION.i5.06748 has lost 4 tokens.
[06:54:31]	CCA.C17-UNION.i5.06748 has gained a 'UU Brand Corn' #27798.
[06:54:35]	CCA.C17-UNION.i5.06748 has lost 4 tokens.
[06:54:35]	CCA.C17-UNION.i5.06748 has gained a 'UU Brand Corn' #27799.
[06:54:42]	CCA.C17-UNION.i5.06748 ran 'Consume' on item 'UU Brand Corn' (#27797)
[06:54:45]	CCA.C17-UNION.i5.06748 ran 'Consume' on item 'UU Brand Corn' (#27798)
[06:54:48]	CCA.C17-UNION.i5.06748 ran 'Consume' on item 'UU Brand Corn' (#27799)
[06:55:20]	CCA.C17-UNION.i5.06748 has gained a 'Broken LCD Monitor' #27797.
[06:55:24]	CCA.C17-UNION.i5.06748 has gained a 'Scrap Electronics' #27798.
[06:55:50]	CCA.C17-UNION.i5.06748 has gained a 'Broken Computer Monitor' #27799.
[06:55:59]	CCA.C17-UNION.i5.06748 has gained a 'Empty Pill Bottle' #27800.
[06:56:14]	CCA.C17-UNION.i5.06748 has gained a 'Small Thermos' #27801.
[06:56:33]	CCA.C17-UNION.i5.06748 has gained a 'Bolts' #27802.
[06:56:34]	CCA.C17-UNION.i5.06748 destroyed a 'Paper' #27664.
[06:56:39]	CCA.C17-UNION.i5.06748 has gained a 'Pack of Nails' #27803.
[06:56:46]	CCA.C17-UNION.i5.06748 ran 'take' on item 'AA Battery' (#27445)
[06:56:46]	CCA.C17-UNION.i5.06748 has gained a 'AA Battery' #27445.
[06:56:48]	CCA.C17-UNION.i5.06748 opened the '' #2551 container.
[06:56:50]	CCA.C17-UNION.i5.06748 closed the '' #2551 container.
[06:57:01]	CCA.C17-UNION.i5.06748 has gained 10 tokens.
[06:57:07]	CCA.C17-UNION.i5.06748 has gained a 'A Roll of Toilet Paper' #27804.
[06:57:15]	CCA.C17-UNION.i5.06748 ran 'take' on item 'Empty Flavored Consulate Water Can' (#27702)
[06:57:15]	CCA.C17-UNION.i5.06748 has gained a 'Empty Flavored Consulate Water Can' #27702.
[06:57:17]	CCA.C17-UNION.i5.06748 ran 'take' on item 'Empty Paint Can' (#25955)
[06:57:17]	CCA.C17-UNION.i5.06748 has gained a 'Empty Paint Can' #25955.
[06:57:30]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Empty Paint Can' (#25955)
[06:57:30]	CCA.C17-UNION.i5.06748 has lost a 'Empty Paint Can' #25955.
[06:57:31]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Empty Flavored Consulate Water Can' (#27702)
[06:57:31]	CCA.C17-UNION.i5.06748 has lost a 'Empty Flavored Consulate Water Can' #27702.
[06:57:33]	CCA.C17-UNION.i5.06748 destroyed a 'Empty Paint Can' #25955.
[06:57:42]	CCA.C17-UNION.i5.06748 destroyed a 'Empty Flavored Consulate Water Can' #27702.
[06:57:45]	CCA.C17-UNION.i5.06748 ran 'take' on item 'Empty Paint Can' (#27806)
[06:57:45]	CCA.C17-UNION.i5.06748 has gained a 'Empty Paint Can' #27806.
[06:58:26]	CCA.C17-UNION.i5.06748 has gained a 'Zip Tie' #27808.
[06:58:56]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Broken Computer Monitor' (#27799)
[06:58:56]	CCA.C17-UNION.i5.06748 has lost a 'Broken Computer Monitor' #27799.
[06:58:56]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Empty Pill Bottle' (#27800)
[06:58:56]	CCA.C17-UNION.i5.06748 has lost a 'Empty Pill Bottle' #27800.
[06:58:57]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'AA Battery' (#27445)
[06:58:57]	CCA.C17-UNION.i5.06748 has lost a 'AA Battery' #27445.
[06:58:58]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Small Thermos' (#27801)
[06:58:58]	CCA.C17-UNION.i5.06748 has lost a 'Small Thermos' #27801.
[06:58:59]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'A Roll of Toilet Paper' (#27804)
[06:58:59]	CCA.C17-UNION.i5.06748 has lost a 'A Roll of Toilet Paper' #27804.
[06:59:00]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Bolts' (#27802)
[06:59:00]	CCA.C17-UNION.i5.06748 has lost a 'Bolts' #27802.
[06:59:01]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Empty Paint Can' (#27806)
[06:59:01]	CCA.C17-UNION.i5.06748 has lost a 'Empty Paint Can' #27806.
[06:59:02]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Pack of Nails' (#27803)
[06:59:02]	CCA.C17-UNION.i5.06748 has lost a 'Pack of Nails' #27803.
[06:59:03]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Broken LCD Monitor' (#27797)
[06:59:03]	CCA.C17-UNION.i5.06748 has lost a 'Broken LCD Monitor' #27797.
[06:59:04]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Scrap Electronics' (#27798)
[06:59:04]	CCA.C17-UNION.i5.06748 has lost a 'Scrap Electronics' #27798.
[06:59:11]	execution_fire destroyed a 'Empty Pill Bottle' #27800.
[06:59:12]	execution_hurt destroyed a 'Bolts' #27802.
[06:59:12]	execution_hurt destroyed a 'A Roll of Toilet Paper' #27804.
[06:59:12]	execution_hurt destroyed a 'Empty Paint Can' #27806.
[06:59:12]	execution_hurt destroyed a 'AA Battery' #27445.
[06:59:12]	execution_hurt destroyed a 'Small Thermos' #27801.
[06:59:12]	execution_hurt destroyed a 'Broken LCD Monitor' #27797.
[06:59:12]	execution_hurt destroyed a 'Scrap Electronics' #27798.
[06:59:12]	execution_hurt destroyed a 'Broken Computer Monitor' #27799.
[06:59:12]	execution_hurt destroyed a 'Pack of Nails' #27803.
[06:59:38]	CCA.C17-UNION.i5.06748 ran 'take' on item 'Pipe' (#27807)
[06:59:38]	CCA.C17-UNION.i5.06748 has gained a 'Pipe' #27807.
[07:00:29]	CCA.C17-UNION.i5.06748 ran 'drop' on item 'Pipe' (#27807)
[07:00:29]	CCA.C17-UNION.i5.06748 has lost a 'Pipe' #27807.
