[00:00:01]	[LOOC] CCA.C17-UNION.i5.83253: ffs...
[16:49:49]	Ava Carter rolled 83 (77 + 6) out of 100 on Strength.
[16:49:49]	Ava Carter used command '/RollAttribute strength'.
[16:49:51]	[ME] Jacob Desmone: Would duck
[16:49:54]	Jacob Desmone rolled 92 (87 + 5) out of 100 on Agility.
[16:49:54]	Jacob Desmone used command '/RollAttribute Agility'.
[16:50:10]	[ME] Ava Carter: would make a huge crack in the wall
[16:50:20]	matt saton loaded the character 'Ephraim 'Loew' Harris'
[16:50:46]	[ME] Jacob Desmone: Would mumble some words dumb bird fearer 
[16:51:13]	Ephraim 'Loew' Harris entered observer.
[16:51:16]	[LOOC] Ava Carter: ok logan paul
[16:51:22]	Ephraim 'Loew' Harris has spawned a 'NPC [2473][npc_fastzombie]'.
[16:51:22]	[LOOC] Jacob Desmone: it worked
[16:51:34]	Ephraim 'Loew' Harris has spawned a 'NPC [2364][npc_headcrab]'.
[16:51:40]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_fastzombie]'.
[16:51:44]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombie]'.
[16:51:46]	Ephraim 'Loew' Harris has spawned a 'NPC [2710][npc_zombie]'.
[16:51:54]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombie]'.
[16:51:58]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombie]'.
[16:52:01]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombie]'.
[16:52:11]	Ephraim 'Loew' Harris has spawned a 'NPC [3434][npc_headcrab]'.
[16:52:12]	Ephraim 'Loew' Harris has spawned a 'NPC [3435][npc_headcrab]'.
[16:52:19]	Ephraim 'Loew' Harris has spawned a 'NPC [3434][npc_barnacle]'.
[16:52:32]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_barnacle]'.
[16:52:38]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombie]'.
[16:52:45]	[OOC] Jacob Desmone: playing with fire rn
[16:52:54]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombine]'.
[16:53:03]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombine]'.
[16:53:15]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombie]'.
[16:53:23]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_barnacle]'.
[16:53:32]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombie]'.
[16:53:35]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombie]'.
[16:53:47]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_headcrab_fast]'.
[16:53:53]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_headcrab]'.
[16:53:56]	[ME] Jacob Desmone: Would silently start molding some armor scrap
[16:53:58]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][npc_zombie]'.
[16:54:10]	[OOC] Jacob Desmone: so mean
[16:54:11]	Ephraim 'Loew' Harris has spawned a 'NPC [2541][monster_bullsquid]'.
[16:54:12]	[OOC] Jacob Desmone: so hostile
[16:54:13]	Ephraim 'Loew' Harris has spawned a 'NPC [3703][monster_bullsquid]'.
[16:54:20]	[OOC] Ava Carter: BITCH U THE ONE STARTING SHIT
[16:54:20]	Lildirtyharry04 has connected.
[16:55:10]	Lildirtyharry04 loaded the character 'Qul'jal'
[16:55:11]	Ephraim 'Loew' Harris has spawned a 'NPC [3659][npc_headcrab]'.
[16:55:20]	[LOOC] Jacob Desmone: ARCHIMEDES NO
[16:56:08]	Qul'jal opened the 'Metal Cabinet' #2420 container.
[16:56:15]	Qul'jal closed the 'Metal Cabinet' #2420 container.
[16:56:46]	[LOOC] Ephraim 'Loew' Harris: h
[16:56:49]	[ME] Qul'jal: would sit back down. Calmly muttering.... feeling his connection to the vortssence.
[16:57:02]	[LOOC] Ava Carter: stewie had alot of shit in his apartment AND I MEAN A LOT OF SHIT
[16:57:27]	[ME] Jacob Desmone: Would pick up a small scrap eletronic
[16:57:40]	[ME] Jacob Desmone: He would press a button a red light would come on when he pressed it
[16:57:43]	[OOC] Ephraim 'Loew' Harris: i'm here for scrapRP when you're reay
[16:57:47]	[OOC] Jacob Desmone: ok give me like
[16:57:50]	[ME] Qul'jal: would think back to the crystal. Thinking about it..... He would attempt to remember the feelings the crystal put into the world......
[16:57:51]	[OOC] Jacob Desmone: 2 minutes torun over there 
[16:58:03]	[ME] Jacob Desmone: Would point to the eletronics
[16:58:04]	[OOC] Qul'jal: Im just gonna do my normal vort stuff
[16:58:06]	Ephraim 'Loew' Harris exited observer at their location.
[16:58:18]	[ME] Jacob Desmone: Would put the small eletronics back in his pocket
[16:58:26]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[16:58:34]	[ME] Qul'jal: would remember the crystal's feeling of anguish and sadness. The pain it caused.
[16:58:34]	Ephraim 'Loew' Harris has taken 10 damage from npc_zombie.
[16:58:38]	Ephraim 'Loew' Harris has taken 10 damage from npc_zombie.
[16:58:40]	Ephraim 'Loew' Harris has taken 10 damage from npc_zombie.
[16:58:41]	[OOC] Jacob Desmone: I gotta do another hour of AMMO MAKING RP
[16:58:47]	[OOC] Jacob Desmone: WHERE I MAKE AMMO FOR 30 DIIFFERENT REBELS
[16:58:53]	[OOC] Jacob Desmone: but its fun
[16:58:55]	[OOC] Ava Carter: I JUST NEED MORE AMMO FOR MY CROSSBOW
[16:58:56]	Ephraim 'Loew' Harris has taken 10 damage from npc_zombie.
[16:58:57]	[OOC] Jacob Desmone: LMAO
[16:58:57]	[OOC] Qul'jal: Hey. Be glad I don't run on bullets
[16:59:16]	[ME] Jacob Desmone: Would sigh as he lays down the rebar churning the scrap metal into Cylanidural bolts
[16:59:21]	Jacob Desmone rolled 115 (94 + 21) out of 100 on Engineering.
[16:59:21]	Jacob Desmone used command '/RollSkill Engineering'.
[16:59:28]	[ME] Qul'jal: would attempt to remember the cracks along the crystal. Feeling the rememberance of energy from it.
[16:59:48]	Ephraim 'Loew' Harris used command '/PM jacob where are you getting reba from'.
[17:00:03]	Jacob Desmone used command '/PM Ep I took some from the CZ since its everywhere and I keep a stash but mostly from scrap metal'.
[17:00:14]	Jacob Desmone used command '/PM ep You can have these weapon parts I guess for the ammo'.
[17:00:16]	Ephraim 'Loew' Harris entered observer.
[17:00:16]	Ephraim 'Loew' Harris exited observer at their location.
[17:00:18]	Jacob Desmone used command '/PM ep Since its just 3 scrap'.
[17:01:04]	Ephraim 'Loew' Harris used command '/PM jacob i'll take it for 1 ref if you go to the forge'.
[17:01:15]	Jacob Desmone used command '/PM Ep how many bolts for one ref'.
[17:01:30]	Ephraim 'Loew' Harris used command '/PM jacob one set. idk how many are in a set of bolts'.
[17:01:34]	Ephraim 'Loew' Harris used command '/PM jacob but one item'.
[17:01:40]	Ephraim 'Loew' Harris ran 'drop' on item 'Broken Keyboard' (#39750)
[17:01:40]	Ephraim 'Loew' Harris has lost a 'Broken Keyboard' #39750.
[17:01:43]	[ME] Qul'jal: would look at the spot where he and L preformed the ritual.... thinking.... remembering... He would mutter a few words.... vortigese.....
[17:01:46]	Ephraim 'Loew' Harris ran 'take' on item 'Pin' (#36470)
[17:01:46]	Ephraim 'Loew' Harris has gained a 'Pin' #36470.
[17:01:51]	Jacob Desmone used command '/PM ava I hear a zombine in the distance'.
[17:02:02]	[VORTIGESE] Qul'jal: Chalung. Galung. Gauim. Greba.
[17:02:11]	Ephraim 'Loew' Harris ran 'drop' on item 'Notepad' (#36097)
[17:02:11]	Ephraim 'Loew' Harris has lost a 'Notepad' #36097.
[17:02:11]	Jacob Desmone ran 'take' on item 'Refined Metal' (#34683)
[17:02:11]	Jacob Desmone has gained a 'Refined Metal' #34683.
[17:02:14]	Jacob Desmone has taken 5 damage from npc_headcrab_fast.
[17:02:16]	Ephraim 'Loew' Harris ran 'Edit' on item 'Notepad' (#36097)
[17:02:24]	Ephraim 'Loew' Harris ran 'Attach' on item 'Pin' (#36470)
[17:02:30]	Ephraim 'Loew' Harris has gained a 'Scrap Metal' #40034.
[17:02:36]	Jacob Desmone used command '/PM ep Idk how many either since its just a single line of metal'.
[17:02:38]	Ephraim 'Loew' Harris ran 'View' on item 'Notepad' (#35484)
[17:02:49]	Ephraim 'Loew' Harris has gained a 'Crossbow Bolts' #40035.
[17:02:49]	Ephraim 'Loew' Harris used command '/CharGiveItem loew rossbow'.
[17:03:01]	Ephraim 'Loew' Harris used command '/PM jacob i'm saying i'll give you one crossbow bolts item'.
[17:03:15]	Ephraim 'Loew' Harris used command '/PM jacob for 1 ref'.
[17:03:17]	Ephraim 'Loew' Harris has gained a 'Scrap Plastic' #40036.
[17:03:19]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[17:03:19]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[17:03:29]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[17:03:35]	Jacob Desmone used command '/PM Ep Alright im here'.
[17:03:35]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[17:03:38]	Ephraim 'Loew' Harris has taken 3 damage from npc_fastzombie.
[17:03:38]	Ephraim 'Loew' Harris has taken 3 damage from npc_fastzombie.
[17:03:42]	Ephraim 'Loew' Harris has gained 20 tokens.
[17:03:44]	[ME] Jacob Desmone: Would start making the bolts with the mold
[17:03:46]	Ephraim 'Loew' Harris entered observer.
[17:03:49]	Jacob Desmone rolled 55 (34 + 21) out of 100 on Engineering.
[17:03:49]	Jacob Desmone used command '/RollSkill Engineering'.
[17:03:55]	[LOOC] Ephraim 'Loew' Harris: alright drop the ref
[17:04:00]	Jacob Desmone ran 'drop' on item 'Refined Metal' (#34683)
[17:04:00]	Jacob Desmone has lost a 'Refined Metal' #34683.
[17:04:04]	Ephraim 'Loew' Harris ran 'drop' on item 'Crossbow Bolts' (#40035)
[17:04:04]	Ephraim 'Loew' Harris has lost a 'Crossbow Bolts' #40035.
[17:04:08]	Jacob Desmone ran 'take' on item 'Crossbow Bolts' (#40035)
[17:04:08]	Jacob Desmone has gained a 'Crossbow Bolts' #40035.
[17:04:10]	Ephraim 'Loew' Harris entered observer.
[17:04:11]	[OOC] Jacob Desmone: a bundle of 5 bolts
[17:04:12]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[17:04:14]	[OOC] Jacob Desmone: epic
[17:04:16]	Ephraim 'Loew' Harris exited observer at their location.
[17:04:17]	Ephraim 'Loew' Harris entered observer.
[17:04:19]	Ephraim 'Loew' Harris exited observer at their location.
[17:04:20]	Ephraim 'Loew' Harris entered observer.
[17:04:20]	Ephraim 'Loew' Harris exited observer at their location.
[17:04:21]	Ephraim 'Loew' Harris entered observer.
[17:04:22]	Ephraim 'Loew' Harris exited observer at their location.
[17:04:22]	Ephraim 'Loew' Harris entered observer.
[17:04:23]	Ephraim 'Loew' Harris exited observer at their location.
[17:04:24]	Ephraim 'Loew' Harris entered observer.
[17:04:25]	Ephraim 'Loew' Harris exited observer at their location.
[17:04:34]	Ephraim 'Loew' Harris ran 'take' on item 'Notepad' (#36253)
[17:04:34]	Ephraim 'Loew' Harris has gained a 'Notepad' #36253.
[17:04:36]	Ephraim 'Loew' Harris ran 'take' on item 'Notepad' (#36408)
[17:04:44]	Ephraim 'Loew' Harris ran 'take' on item 'Pin' (#36191)
[17:04:47]	Ephraim 'Loew' Harris ran 'drop' on item 'Scrap Glass' (#39740)
[17:04:47]	Ephraim 'Loew' Harris has lost a 'Scrap Glass' #39740.
[17:04:52]	Ephraim 'Loew' Harris ran 'take' on item 'Pin' (#36191)
[17:04:52]	Ephraim 'Loew' Harris has gained a 'Pin' #36191.
[17:04:55]	Jacob Desmone has taken 10 damage from npc_zombine.
[17:04:57]	Jacob Desmone has taken 10 damage from npc_zombine.
[17:04:59]	Jacob Desmone has taken 10 damage from npc_zombine.
[17:05:38]	[ME] Jacob Desmone: Would have multiple bruises and slashes on him
[17:05:38]	Qul'jal has taken 12 damage from Jacob Desmone.
[17:05:41]	[LOOC] Jacob Desmone: VOID
[17:05:45]	Ephraim 'Loew' Harris ran 'drop' on item 'Blue Pre-War Shirt' (#31589)
[17:05:45]	Ephraim 'Loew' Harris has lost a 'Blue Pre-War Shirt' #31589.
[17:05:45]	[LOOC] Qul'jal: my bunga
[17:05:46]	[LOOC] Ava Carter: LOL
[17:05:49]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[17:05:52]	[LOOC] Qul'jal: I CAN't heal myself yet
[17:06:14]	Ephraim 'Loew' Harris ran 'take' on item 'Instant Cold Pack' (#40039)
[17:06:14]	Ephraim 'Loew' Harris has gained a 'Instant Cold Pack' #40039.
[17:06:18]	[OOC] Qul'jal: Q. You should heal me lol. Got beat in the head by a crowbar by accident
[17:06:24]	Ephraim 'Loew' Harris entered observer.
[17:06:33]	[LOOC] Ava Carter: sure*
[17:06:37]	Ephraim 'Loew' Harris exited observer at their location.
[17:06:40]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[17:06:43]	[ME] Jacob Desmone: WOuld take the shirt while he is healing me and sew a quiver for ava
[17:06:49]	[LOOC] Qul'jal: thats wierd
[17:06:52]	Jacob Desmone rolled 110 (94 + 16) out of 100 on Fabrication.
[17:06:52]	Jacob Desmone used command '/RollSkill fabrication'.
[17:06:54]	[LOOC] Ava Carter: alot of crossbow themed ideas
[17:06:55]	Ephraim 'Loew' Harris ran 'Edit' on item 'Notepad' (#36253)
[17:07:00]	Ephraim 'Loew' Harris ran 'drop' on item 'Notepad' (#36253)
[17:07:00]	Ephraim 'Loew' Harris has lost a 'Notepad' #36253.
[17:07:00]	[ME] Jacob Desmone: Would hand the quiver to ava
[17:07:04]	[LOOC] Qul'jal: there we go. idk why it did that
[17:07:09]	[ME] Ava Carter: would take the quiver
[17:07:09]	Jacob Desmone ran 'drop' on item 'Crossbow Bolts' (#40035)
[17:07:09]	Jacob Desmone has lost a 'Crossbow Bolts' #40035.
[17:07:14]	Ava Carter ran 'take' on item 'Crossbow Bolts' (#40035)
[17:07:14]	Ava Carter has gained a 'Crossbow Bolts' #40035.
[17:07:15]	Ephraim 'Loew' Harris ran 'Attach' on item 'Pin' (#36191)
[17:07:30]	Ephraim 'Loew' Harris has gained a 'Scrap Electronics' #40041.
[17:07:39]	[LOOC] Jacob Desmone: add that to the desc
[17:07:40]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[17:07:42]	[LOOC] Jacob Desmone: quiver
[17:07:43]	Ephraim 'Loew' Harris has taken 10 damage from npc_zombie.
[17:07:47]	[LOOC] Jacob Desmone: since quivers are very noticable
[17:07:52]	Ephraim 'Loew' Harris ran 'AHealSelf' on item 'Small First Aid Kit' (#39783)
[17:07:57]	Qul'jal used command '/PM harris would it be okay to attempt to RP locate a place of power? kind of a place in which the vortessence is stronger?'.
[17:08:02]	Ephraim 'Loew' Harris has gained a 'Cinderblock' #40042.
[17:08:11]	Ephraim 'Loew' Harris used command '/PM qul you can try ICly but you won't really find one'.
[17:08:15]	Qul'jal used command '/PM harris that way I can log that down for later....'.
[17:08:17]	[LOOC] Ava Carter: so i just add to my desc "has a quiver on their crossbow" or smth?
[17:08:37]	Ephraim 'Loew' Harris has taken 5 damage from npc_headcrab.
[17:08:42]	[LOOC] Jacob Desmone: well you wear a quiver on your back
[17:08:53]	Ephraim 'Loew' Harris has gained a 'Paper' #40043.
[17:09:06]	[LOOC] Ava Carter: oh that's what u meant by quiver im retarded
[17:09:14]	Ava Carter used command '/CharDesc'.
[17:09:15]	Ephraim 'Loew' Harris has gained a 'Bar of Soap' #40044.
[17:09:22]	[LOOC] Jacob Desmone: LMAO
[17:09:29]	[LOOC] Ava Carter: shut up
[17:09:32]	Qul'jal used command '/PM harris Well nevermind. I suppose if we have that crystal we already have a place of power since the crystal itself is an item of great importance'.
[17:09:33]	Ava Carter used command '/CharDesc'.
[17:09:41]	Ephraim 'Loew' Harris ran 'drop' on item 'Bar of Soap' (#40044)
[17:09:41]	Ephraim 'Loew' Harris has lost a 'Bar of Soap' #40044.
[17:09:42]	Ephraim 'Loew' Harris ran 'drop' on item 'Cables' (#39770)
[17:09:42]	Ephraim 'Loew' Harris has lost a 'Cables' #39770.
[17:09:46]	Ephraim 'Loew' Harris ran 'take' on item 'Empty Tin Can' (#40045)
[17:09:46]	Ephraim 'Loew' Harris has gained a 'Empty Tin Can' #40045.
[17:09:48]	[LOOC] Jacob Desmone: also why ou got a different last name than stewie
[17:09:52]	Ephraim 'Loew' Harris has gained a 'Scrap Metal' #40045.
[17:09:52]	[LOOC] Jacob Desmone: ALSO WHY IS ONE OF YOU ASIAN
[17:09:55]	[LOOC] Jacob Desmone: AND THE OTHER WHITE
[17:10:01]	Ephraim 'Loew' Harris has gained a 'Refined Electronics' #40046.
[17:10:01]	Ava Carter used command '/CharDesc [Quiver On their Back] [Exiles Armband On] - 5'7" female, with Emerald eyes and brown long hair, Seems to be in her late 20's.'.
[17:10:02]	Qul'jal used command '/PM harris so technically we inadvertenly created one'.
[17:10:08]	Ephraim 'Loew' Harris has gained a 'Refined Metal' #40047.
[17:10:17]	[LOOC] Jacob Desmone: yall genetics are fucked up
[17:10:18]	[LOOC] Ava Carter: shut up
[17:10:29]	Ephraim 'Loew' Harris ran 'take' on item 'Empty Paint Can' (#39731)
[17:10:29]	Ephraim 'Loew' Harris has gained a 'Empty Paint Can' #39731.
[17:11:14]	Ephraim 'Loew' Harris has gained a 'Cloth Scrap' #40048.
[17:11:25]	Ephraim 'Loew' Harris has gained a 'Empty Cooking Oil Bottle' #40049.
[17:11:30]	Ephraim 'Loew' Harris ran 'take' on item 'Scrap Electronics' (#40031)
[17:11:36]	Ephraim 'Loew' Harris ran 'Consume' on item 'Standard Grade Food Product (Bread Flavor)' (#36710)
[17:11:38]	Ephraim 'Loew' Harris ran 'take' on item 'Scrap Electronics' (#40031)
[17:11:38]	Ephraim 'Loew' Harris has gained a 'Scrap Electronics' #40031.
[17:11:46]	Qul'jal has taken 5 damage from npc_headcrab.
[17:11:47]	Qul'jal has taken 5 damage from npc_headcrab.
[17:11:51]	Ephraim 'Loew' Harris has gained a 'Refined Electronics' #40050.
[17:12:03]	Qul'jal has gained a 'A Roll of Toilet Paper' #40051.
[17:12:15]	[ME] Jacob Desmone: Would quickly leave the room
[17:12:20]	Qul'jal has gained a 'LCD Monitor' #40052.
[17:12:21]	Ephraim 'Loew' Harris has gained a 'Empty Paint Can' #40053.
[17:12:23]	Qul'jal ran 'drop' on item 'A Roll of Toilet Paper' (#40051)
[17:12:23]	Qul'jal has lost a 'A Roll of Toilet Paper' #40051.
[17:12:25]	[LOOC] Jacob Desmone: I love me my nerd jokes
[17:12:57]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[17:13:25]	Ephraim 'Loew' Harris ran 'take' on item 'Green Citizen Suit' (#40055)
[17:13:56]	[ME] Ephraim 'Loew' Harris: puts his knife in his pocket.
[17:14:02]	[LOOC] Jacob Desmone: NEW PLAN
[17:14:07]	[LOOC] Jacob Desmone: COOKING IS INTELLIGENCE BASED
[17:14:08]	[LOOC] Ava Carter: guh?
[17:14:13]	[LOOC] Ava Carter: ew
[17:14:16]	[LOOC] Jacob Desmone: I made the administrator a sandwich
[17:14:19]	[LOOC] Jacob Desmone: THEY TRUST ME
[17:14:24]	[LOOC] Jacob Desmone: TIME TO COMMIT MURDER
[17:14:36]	[OOC] Jacob Desmone: Q
[17:14:38]	[LOOC] Ava Carter: lmao poisoned the sandwiches
[17:14:40]	[OOC] Jacob Desmone: How do I level up cooking
[17:15:04]	[ME] Qul'jal: produces a light
[17:15:05]	[OOC] Ephraim 'Loew' Harris: cooking, but the cooking thing isn't really programmed in yet
[17:15:14]	[OOC] Jacob Desmone: FUCK
[17:15:16]	[LOOC] Ephraim 'Loew' Harris: huh, the light aniamtion is broken too. weird
[17:15:20]	[LOOC] Qul'jal: yee
[17:15:21]	[OOC] Jacob Desmone: there goes my dreams of making the adminstrator more food
[17:15:21]	[OOC] Ava Carter: how to level up guns and hth Q
[17:15:23]	[LOOC] Qul'jal: its all kinda fucky
[17:15:27]	[OOC] Jacob Desmone: hth is punch
[17:15:28]	[LOOC] Qul'jal: I can work with it
[17:15:29]	[OOC] Jacob Desmone: gun is gun
[17:16:20]	DRD has connected.
[17:17:33]	DRD loaded the character 'Major-General Sir Issac Brock KB'
[17:17:33]	[ME] Qul'jal: would nod begining to wander toward the beahc
[17:17:40]	[OOC] Jacob Desmone: How much engineering would I need to make a reciever
[17:17:46]	Qul'jal has taken 5 damage from npc_headcrab.
[17:17:47]	[OOC] Major-General Sir Issac Brock KB: whats your stat
[17:17:49]	[OOC] Jacob Desmone: 85
[17:17:50]	Major-General Sir Issac Brock KB entered observer.
[17:17:51]	[OOC] Ephraim 'Loew' Harris: i haven't thought about it
[17:17:51]	Ephraim 'Loew' Harris has taken 5 damage from npc_headcrab.
[17:17:53]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[17:17:56]	Major-General Sir Issac Brock KB exited observer at their location.
[17:17:59]	[OOC] Jacob Desmone: 86*
[17:17:59]	[OOC] Ava Carter: let's say 65
[17:18:04]	[LOOC] Qul'jal: melee is so delayed I cant react
[17:18:09]	[OOC] Ephraim 'Loew' Harris: let me think for a sec
[17:18:10]	[OOC] Major-General Sir Issac Brock KB: to make a reciever?
[17:18:10]	[LOOC] Qul'jal: takes like 2 years
[17:18:14]	[OOC] Major-General Sir Issac Brock KB: i;d seay yeah
[17:18:17]	[OOC] Major-General Sir Issac Brock KB: 65+
[17:18:19]	Major-General Sir Issac Brock KB entered observer.
[17:18:19]	[OOC] Ephraim 'Loew' Harris: no
[17:18:20]	[OOC] Jacob Desmone: ok what materials
[17:18:20]	[OOC] Ava Carter: a rf receiver yesh
[17:18:23]	[OOC] Ephraim 'Loew' Harris: higher
[17:18:25]	Ephraim 'Loew' Harris has taken 3 damage from npc_fastzombie.
[17:18:25]	Qul'jal has taken 3 damage from npc_fastzombie.
[17:18:25]	Qul'jal has taken 3 damage from npc_fastzombie.
[17:18:28]	Ephraim 'Loew' Harris has taken 3 damage from npc_fastzombie.
[17:18:28]	Ephraim 'Loew' Harris has taken 3 damage from npc_fastzombie.
[17:18:30]	[OOC] Jacob Desmone: 80?
[17:18:30]	[OOC] Ava Carter: 75+?
[17:18:32]	[LOOC] Qul'jal: i hit him lol
[17:18:33]	Ephraim 'Loew' Harris has gained 20 tokens.
[17:18:36]	[OOC] Ava Carter: 90?
[17:18:38]	[OOC] Jacob Desmone: WOAH
[17:18:41]	[OOC] Jacob Desmone: 90 is a bit much
[17:18:53]	[OOC] Ava Carter: you can grind your shit out
[17:18:58]	[LOOC] Qul'jal: THERe we go. Finally ff's
[17:19:01]	[OOC] Jacob Desmone: I can get 100 if I spent the itme
