[00:22:58]	Ollie Garner has connected.
[18:03:31]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:31]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:34]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:35]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:35]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:37]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:38]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:38]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:40]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:41]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:41]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:41]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[18:03:44]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:44]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:44]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:44]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:03:46]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[18:03:47]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:47]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:47]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:48]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[18:03:50]	Roach Shepherd has taken 5 damage from npc_headcrab.
[18:03:54]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:03:54]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:03:56]	Roach Shepherd has taken 5 damage from npc_headcrab.
[18:03:57]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:03:58]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:03:58]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:04:00]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:04:01]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:04:01]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:04:01]	Roach Shepherd has taken 5 damage from npc_headcrab.
[18:04:03]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:04:04]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:04:04]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[18:04:06]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[18:04:06]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:04:06]	npc_fastzombie has killed Roach Shepherd.
[18:04:07]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:04:08]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:04:10]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:04:11]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:04:11]	npc_fastzombie has killed Angela Aleinikova.
[18:04:14]	[OOC] Angela Aleinikova: xD
[18:05:19]	[OOC] Angela Aleinikova: you still in sewers?
[18:05:34]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:34]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:36]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:37]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:37]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:39]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:40]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:40]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:42]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:43]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:43]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:45]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:45]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:53]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:53]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:55]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:56]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:56]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:59]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:59]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:05:59]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:02]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:02]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:02]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:03]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[18:06:05]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:05]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:05]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:08]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:08]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[18:06:09]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:09]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:06:09]	npc_fastzombie has killed Angela Aleinikova.
[18:06:34]	Angela Aleinikova has taken 10 damage from prop_physics.
[18:07:20]	Roach Shepherd has taken 5 damage from prop_physics.
[18:07:33]	Angela Aleinikova has taken 5 damage from prop_physics.
[18:07:34]	Angela Aleinikova has taken 10 damage from prop_physics.
[18:07:41]	Roach Shepherd has taken 5 damage from prop_physics.
[18:09:12]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[18:09:43]	Angela Aleinikova ran 'take' on item 'Empty Glass Bottle' (#29778)
[18:09:43]	Angela Aleinikova has gained a 'Empty Glass Bottle' #29778.
[18:09:49]	[OOC] Roach Shepherd: I'm back,.
[18:09:57]	[OOC] Angela Aleinikova: wb
[18:10:09]	[OOC] Roach Shepherd: Thank you.
[18:10:24]	Angela Aleinikova opened the '' #2052 container.
[18:10:32]	Angela Aleinikova has gained a 'Duct Tape' #25889.
[18:10:33]	Angela Aleinikova has gained a 'Copper Coil' #29705.
[18:10:34]	Angela Aleinikova closed the '' #2052 container.
[18:11:32]	[OOC] Roach Shepherd: There are still honey eyes.
[18:11:37]	[OOC] Roach Shepherd: *Sigh* Time to take their lunch money.
[18:11:38]	[OOC] Angela Aleinikova: go around
[18:12:02]	[OOC] Roach Shepherd: I won.
[18:12:05]	[OOC] Angela Aleinikova: I reached qz XD
[18:12:05]	[OOC] Roach Shepherd: I managed to beat them.
[18:12:11]	[OOC] Roach Shepherd: Two down
[18:12:19]	[OOC] Angela Aleinikova: nice
[18:12:22]	Angela Aleinikova has taken 12 damage from trigger_hurt.
[18:13:04]	Angela Aleinikova ran 'take' on item 'Bandage' (#29780)
[18:13:04]	Angela Aleinikova has gained a 'Bandage' #29780.
[18:13:07]	Angela Aleinikova ran 'take' on item 'Percocet 20mg' (#29781)
[18:13:07]	Angela Aleinikova has gained a 'Percocet 20mg' #29781.
[18:13:17]	[OOC] Roach Shepherd: Wait did you kill one of the honey eyes?
[18:13:24]	[OOC] Angela Aleinikova: yea
[18:13:32]	[OOC] Roach Shepherd: That explains it.
[18:13:38]	[OOC] Angela Aleinikova: and did much damage on others
[18:13:58]	Angela Aleinikova has taken 0 damage from npc_turret_floor.
[18:13:59]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[18:14:01]	[OOC] Roach Shepherd: I hear turrets
[18:14:08]	[OOC] Angela Aleinikova: its me xD
[18:14:14]	[OOC] Roach Shepherd: What did you do
[18:14:26]	[OOC] Angela Aleinikova: reached qz through sewers
[18:14:31]	[OOC] Roach Shepherd: H o w.
[18:14:33]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[18:14:51]	[OOC] Angela Aleinikova: just ran pased from those fast zombies
[18:14:57]	Angela Aleinikova ran 'View' on item 'Notepad' (#29782)
[18:14:59]	[OOC] Roach Shepherd: OHHH
[18:15:01]	[OOC] Roach Shepherd: AHHH
[18:15:07]	Roach Shepherd has taken 5 damage from npc_fastzombie.
[18:15:08]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:15:08]	Roach Shepherd has taken 3 damage from npc_fastzombie.
[18:15:13]	Roach Shepherd has taken 5 damage from npc_headcrab.
[18:15:14]	Roach Shepherd has taken 5 damage from npc_headcrab.
[18:15:19]	Angela Aleinikova has taken 10 damage from npc_zombie_torso.
[18:15:30]	[OOC] Roach Shepherd: *The screams of the damned*.
[18:15:45]	Angela Aleinikova ran 'take' on item 'Empty Pill Bottle' (#29783)
[18:15:45]	Angela Aleinikova has gained a 'Empty Pill Bottle' #29783.
[18:15:48]	[OOC] Roach Shepherd: *[REDACTED]*
[18:15:50]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[18:15:50]	npc_turret_floor has killed Angela Aleinikova.
[18:16:25]	[OOC] Roach Shepherd: Is the OZ...
[18:16:31]	[OOC] Roach Shepherd: With a bunch of..
[18:16:36]	[OOC] Angela Aleinikova: yep
[18:16:54]	[OOC] Roach Shepherd: It looks like tentacle hentai.
[18:17:49]	Roach Shepherd has taken 5 damage from npc_headcrab_poison.
[18:17:49]	Roach Shepherd has taken 63 damage from npc_headcrab_poison.
[18:18:11]	Roach Shepherd has taken 1 damage from env_fire.
[18:18:13]	Roach Shepherd has taken 10 damage from npc_poisonzombie.
[18:18:17]	Roach Shepherd has taken 10 damage from npc_poisonzombie.
[18:19:08]	Roach Shepherd has taken 23 damage from xen_tree.
[18:19:10]	Roach Shepherd has taken 23 damage from xen_tree.
[18:19:10]	xen_tree has killed Roach Shepherd.
[18:19:18]	[OOC] Angela Aleinikova: where are you?
[18:19:25]	[OOC] Roach Shepherd: Turns out the tentacles are hostie.
[18:19:27]	[OOC] Roach Shepherd: *hostile.
[18:20:21]	Angela Aleinikova has taken 5 damage from npc_headcrab_poison.
[18:20:21]	Angela Aleinikova has taken 94 damage from npc_headcrab_poison.
[18:20:41]	Angela Aleinikova has taken 5 damage from npc_headcrab_poison.
[18:20:41]	Angela Aleinikova has taken 85 damage from npc_headcrab_poison.
[18:22:30]	[OOC] Roach Shepherd: At the subway.
[18:23:24]	[OOC] Roach Shepherd: At the turrets.
[18:23:49]	Roach Shepherd has taken 12 damage from trigger_hurt.
[18:23:50]	Roach Shepherd has taken 12 damage from trigger_hurt.
[18:24:20]	Angela Aleinikova has taken 10 damage from npc_zombie.
[18:24:22]	Roach Shepherd has taken 18 damage from npc_turret_floor.
[18:24:22]	Roach Shepherd has taken 3 damage from npc_turret_floor.
[18:24:22]	Roach Shepherd has taken 0 damage from npc_turret_floor.
[18:24:22]	Roach Shepherd has taken 3 damage from npc_turret_floor.
[18:24:22]	Roach Shepherd has taken 3 damage from npc_turret_floor.
[18:24:23]	Roach Shepherd has taken 3 damage from npc_turret_floor.
[18:24:23]	Roach Shepherd has taken 3 damage from npc_turret_floor.
[18:24:23]	Roach Shepherd has taken 3 damage from npc_turret_floor.
[18:24:40]	[OOC] Roach Shepherd: Where are you?
[18:24:47]	[OOC] Angela Aleinikova: at school
[18:25:06]	[OOC] Roach Shepherd: Which floor?
[18:25:15]	[OOC] Angela Aleinikova: second
[18:26:04]	[OOC] Roach Shepherd: WHere in the second?
[18:26:21]	[OOC] Angela Aleinikova: now i am out of school
[18:26:37]	[OOC] Roach Shepherd: I see you.
[18:26:45]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[18:26:45]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[18:26:45]	Angela Aleinikova has taken 2 damage from npc_turret_floor.
[18:26:45]	Angela Aleinikova has taken 3 damage from npc_turret_floor.
[18:26:45]	Angela Aleinikova has taken 0 damage from npc_turret_floor.
[18:27:54]	[OOC] Roach Shepherd: Zombie getting merked.
[18:28:02]	[OOC] Angela Aleinikova: ez
[18:28:14]	Roach Shepherd has taken 3 damage from npc_turret_floor.
[18:28:15]	Roach Shepherd has taken 0 damage from npc_turret_floor.
[18:28:15]	Roach Shepherd has taken 3 damage from npc_turret_floor.
[18:28:15]	Roach Shepherd has taken 2 damage from npc_turret_floor.
[18:28:15]	Roach Shepherd has taken 18 damage from npc_turret_floor.
[18:28:15]	Roach Shepherd has taken 18 damage from npc_turret_floor.
[18:28:15]	npc_turret_floor has killed Roach Shepherd.
[18:28:19]	Angela Aleinikova has taken 0 damage from npc_turret_floor.
[18:28:19]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[18:28:19]	Angela Aleinikova has taken 3 damage from npc_turret_floor.
[18:28:19]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[18:28:19]	npc_turret_floor has killed Angela Aleinikova.
[18:28:21]	[OOC] Roach Shepherd: What
[18:28:41]	[OOC] Angela Aleinikova: accidently opened the window with two turrets behind it xD
[18:28:55]	[OOC] Roach Shepherd: Oh.
[18:28:58]	[LOOC] Angela Aleinikova: ey
[18:29:03]	[LOOC] Roach Shepherd: ye?
[18:29:20]	[LOOC] Angela Aleinikova: take this to report to cp, i got one you will have one
[18:29:26]	Angela Aleinikova ran 'drop' on item 'Duct Tape' (#25889)
[18:29:26]	Angela Aleinikova has lost a 'Duct Tape' #25889.
[18:29:38]	Roach Shepherd ran 'take' on item 'Duct Tape' (#25889)
[18:29:38]	Roach Shepherd has gained a 'Duct Tape' #25889.
[18:29:48]	[LOOC] Roach Shepherd: This is contraband?
[18:29:56]	[LOOC] Angela Aleinikova: ifound tape and magnet..i think it is contraband
[18:30:03]	[LOOC] Roach Shepherd: Ah okay.
[18:30:28]	[LOOC] Angela Aleinikova: yep...not much players ;<
[18:30:35]	[LOOC] Roach Shepherd: D:
[18:31:27]	[LOOC] Angela Aleinikova: so what we gonna do now?
[18:31:37]	[LOOC] Roach Shepherd: Hmmm.
[18:31:48]	[LOOC] Roach Shepherd: idk
[18:32:27]	[LOOC] Angela Aleinikova: hmm ;x
[18:33:31]	Angela Aleinikova used command '/CharFallOver'.
[18:33:39]	Angela Aleinikova used command '/CharGetUp'.
[18:33:48]	Angela Aleinikova used command '/CharFallOver'.
[18:33:52]	Angela Aleinikova used command '/CharGetUp'.
[18:33:55]	Angela Aleinikova used command '/CharGetUp'.
[18:34:04]	Angela Aleinikova used command '/CharFallOver'.
[18:34:07]	Angela Aleinikova used command '/CharGetUp'.
[18:34:08]	Angela Aleinikova used command '/CharGetUp'.
[18:34:10]	Angela Aleinikova used command '/CharGetUp'.
[18:35:18]	Angela Aleinikova has taken 44 damage from worldspawn.
[18:37:16]	Angela Aleinikova has taken 48 damage from worldspawn.
[18:38:05]	Angela Aleinikova has taken 36 damage from worldspawn.
[18:38:05]	worldspawn has killed Angela Aleinikova.
[18:38:46]	[OOC] Angela Aleinikova: maybe I am gonna go
[18:39:10]	[OOC] Roach Shepherd: Okay.
[18:39:11]	[OOC] Angela Aleinikova: bai bai ;3
[18:39:17]	[OOC] Roach Shepherd: Cya!
[18:39:20]	✙HealthAngel✙ (STEAM_0:0:76323233) has disconnected.
[18:39:35]	Roachmeal (STEAM_0:0:170921441) has disconnected.
